Rank,Recommendation,P(GO) %,Title,Country,Sector,Procurement,Funding Agency,Budget,Days to Deadline,Model Version,Scored At,Source Portal,Source URL
164,NO GO 🔴,35.4%,Eritrea Technical Consulting Firm for Renewable Energy Mini-Grid Development - Desert to Power Eritrea Energy Mini Grid Project,Eritrea,Energy & Utilities,CONSULTING,African Development Bank (AfDB),Unknown,16,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-eritrea-technical-consulting-firm-renewable-energy-mini-grid-development-desert-power-eritrea-energy-mini-grid-project
165,NO GO 🔴,35.2%,Consulting Firm to conduct Mid-term Evaluation of the Social Justice Project,Jamaica,Social Protection & Poverty Reduction,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44996
166,NO GO 🔴,35.0%,Forum Fisheries Agency: Pacific Islands Regional Oceanscape Program - Second Phase for Economic Resi,Pacific 2,Environment & Climate,CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439887
167,NO GO 🔴,35.0%,RFQ for the Establishment of a Blanket Purchase Agreement (BPA) for Newspaper Publication in Sierra Leone,Sierra Leone,N/A,NON-CONSULTING,UNOPS,Unknown,4,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299466
168,NO GO 🔴,35.0%,Somalia Enhancing Public Resource Management Project,Somalia,N/A,NON-CONSULTING,World Bank,Unknown,40,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442145
169,NO GO 🔴,34.7%,Livestock and Agriculture Modernization Project (LAMP),Niger,Agriculture & Food Security,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439826
170,NO GO 🔴,34.7%,Livestock and Agriculture Modernization Project (LAMP),Niger,Agriculture & Food Security,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439820
171,NO GO 🔴,34.7%,Livestock and Agriculture Modernization Project (LAMP),Niger,Agriculture & Food Security,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439822
172,NO GO 🔴,34.7%,Livestock and Agriculture Modernization Project (LAMP),Niger,Agriculture & Food Security,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439818
173,NO GO 🔴,34.7%,Livestock and Agriculture Modernization Project (LAMP),Niger,Agriculture & Food Security,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439824
174,NO GO 🔴,34.7%,26-Training Curricula for Skills Training relevant to the Solar Ph,Lebanon,Employment & Skills Development,CONSULTING,United Nations Development Programme (UNDP),Unknown,9,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44529
175,NO GO 🔴,34.7%,014- Conduct skills gap assessment in the green transition.,Mongolia,Employment & Skills Development,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44913
176,NO GO 🔴,34.7%,Access to Finance and Skills for Youth (Returnees) through Subsidized Internship,Afghanistan,Employment & Skills Development,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44907
177,NO GO 🔴,34.6%,Assessment on Cambodia's Informal Economy: Organizational Mapping and CAM-IE Platform Impact Assessment,Cambodia,Digital Transformation,CONSULTING,ILO,Unknown,9,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299307
178,NO GO 🔴,34.4%,Design and develop an eLearning course,Republic of Moldova,Education & Training,CONSULTING,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44811
179,NO GO 🔴,34.0%,Provision of catering services for a One-day Business Formalisation Dialogue workshop in Makeni on the 21st May 2026,Sierra Leone,N/A,NON-CONSULTING,ILO,Unknown,4,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299792
180,NO GO 🔴,34.0%,Conference Facilities - Formalize Your Business Meeting,Uganda,N/A,NON-CONSULTING,ILO,Unknown,2,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299842
181,NO GO 🔴,34.0%,ISP RFQ,Côte D'Ivoire,N/A,NON-CONSULTING,ILO,Unknown,19,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299873
182,NO GO 🔴,34.0%,"(RFQ): Provision of Hotel Services in Kigali, Rwanda for a 4-Day Workshop (Full-Day Conference Package)- 8-12 June 2026",Rwanda,N/A,NON-CONSULTING,ILO,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299995
183,NO GO 🔴,34.0%,"Event Management & Printing Services for a one-day Business Formalisation Dialogue workshop in Makeni, Sierra Leone ON 21st May 2026",Sierra Leone,N/A,NON-CONSULTING,ILO,Unknown,4,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299793
184,NO GO 🔴,33.0%,Pre-qualification for the Provision of Engineering Services in Ukraine,Ukraine,"Construction & Infrastructure, Risk & Compliance",CONSULTING,UNOPS,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299213
185,NO GO 🔴,32.9%,"Hiring Accommodation, Venue, Food and Logistics for Organizing Training/Workshop during May to October 2026",Bangladesh,"Employment & Skills Development, Organizational Reform & HR Management",CONSULTING,ILO,Unknown,3,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299034
186,NO GO 🔴,32.8%,China Food Safety Improvement Project,China,"Agriculture & Food Security, Risk & Compliance",CONSULTING,World Bank,"40,000,000 USD",8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441102
187,NO GO 🔴,32.7%,West Africa Coastal Areas Resilience Investment Project 2,Western And Central Africa,"Environment & Climate, Transport & Logistics",CONSULTING,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441585
188,NO GO 🔴,32.4%,Travel Management Services for UNDP Malaysia (Long-Term Agreement),Malaysia,Transport & Logistics,CONSULTING,United Nations Development Programme (UNDP),Unknown,14,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44663
189,NO GO 🔴,32.4%,"Diseño, desarrollo e implementación del nuevo portal web",Ecuador,Enterprise IT & Systems Implementation,CONSULTING,United Nations Development Programme (UNDP),Unknown,9,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44997
190,NO GO 🔴,32.4%,"173147/26 Servicios_Consultoría: formulación ""proyecto_manejo integrado cuencas""",Plurinational State of Bolivia,Enterprise IT & Systems Implementation,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44986
191,NO GO 🔴,32.3%,Liberia International Consultants for Policy Study to Transform LMHS into a Single Entity - Liberia CIS Project,Liberia,Others,CONSULTING,African Development Bank (AfDB),"11,431,969 USD",36,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-liberia-international-consultants-policy-study-transform-lmhs-single-entity-liberia-cis-project-0
192,NO GO 🔴,32.3%,Liberia International Consultant to Develop Liberia Meteorological and Hydrological Services (LMHS) Information Portal - Liberia CIS Project,Liberia,Others,CONSULTING,African Development Bank (AfDB),"11,431,969 USD",22,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-liberia-international-consultant-develop-liberia-meteorological-and-hydrological-services-lmhs-information-portal-liberia-cis-project-0
193,NO GO 🔴,32.3%,Liberia Local Consultant to Develop Policy Study to Transform LMHS into a Single Entity - Liberia CIS Project,Liberia,Others,CONSULTING,African Development Bank (AfDB),"11,431,969 USD",36,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-liberia-local-consultant-develop-policy-study-transform-lmhs-single-entity-liberia-cis-project-1
194,NO GO 🔴,31.9%,"RFP for Microfinance Value Chain Financing Promotion and Awareness Campaign, Afg",Afghanistan,Financial Services,CONSULTING,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44924
195,NO GO 🔴,31.9%,Designing and Piloting a Blended Finance Facility for Affordabl,India,Financial Services,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44923
196,NO GO 🔴,31.9%,Support for Resilient Livelihoods in the South of Madagascar - MIONJO Project,Madagascar,Social Protection & Poverty Reduction,NON-CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441457
197,NO GO 🔴,31.9%,Social Protection and Youth Productive Inclusion Project,Congo,Social Protection & Poverty Reduction,NON-CONSULTING,World Bank,Unknown,16,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438478
198,NO GO 🔴,31.8%,Elaborar e implementar estratégias para a execução e monitoramento PRDA,Brazil,Risk & Compliance,CONSULTING,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44638
199,NO GO 🔴,31.5%,"Venue and Rooms for 2026 Innovation Challenge Events on June 2-5, 2026 in Manila",Philippines,"Digital Transformation, Marketing & Customer Experience",NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44951
200,NO GO 🔴,31.0%,Enhancing Sierra Leone Energy Access,Sierra Leone,N/A,CONSULTING,World Bank,Unknown,41,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442773
201,NO GO 🔴,30.6%,Expansion of Climate and Disaster Risk Insurance Solutions in Vanuatu,Vanuatu,N/A,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45044
202,NO GO 🔴,30.6%,RFP Mobile Health Clinic Services Provision of Mobile Healt,Samoa,N/A,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,8,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45112
203,NO GO 🔴,30.5%,Pacific Strengthening Correspondent Banking Relationships Project,Pacific 1,Marketing & Customer Experience,CONSULTING,World Bank,Unknown,20,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440372
204,NO GO 🔴,30.1%,EDMITE/Provision of Event Management and Capacity-Building Services,Republic of Moldova,N/A,NON-CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45073
205,NO GO 🔴,29.6%,Progestão Acre: Public Sector Management Efficiency,Brazil,Government Reform & Public Administration,CONSULTING,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441530
206,NO GO 🔴,28.9%,"To conduct an in-depth analysis of behavioral insights and audience research for selected nutritious foods and supplements for children aged 6 to 23 months within targeted regions in Dar es Salaam, Tabora, Mwanza, Dodoma, Morogoro and Zanzibar",United Republic of Tanzania,Health & Life Sciences,CONSULTING,UNICEF,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299040
207,NO GO 🔴,28.7%,Design and Provide Business Development Services (BDS) for Refugees and the Host Community in Greater Cairo and Alexandria,Egypt,N/A,NON-CONSULTING,ILO,Unknown,32,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299746
208,NO GO 🔴,28.6%,Global Product Licensing Agency Services,Multiple Destinations,"Risk & Compliance, Marketing & Customer Experience",CONSULTING,UNICEF,Unknown,30,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299103
209,NO GO 🔴,28.6%,Building Resilient Digital Infrastructure for Growth,Nigeria,Digital Transformation,WORKS,World Bank,"800,000,000 USD",8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440531
210,NO GO 🔴,28.3%,To strengthen regional and district capacity on Risk Communication and Community Engagement (RCCE),Uganda,N/A,CONSULTING,UNICEF,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299378
211,NO GO 🔴,28.3%,2026 – 9203851 RECRUTEMENT D’UNE AGENCE POUR LA MISE EN ŒUVRE DU PROJET “LE MUR DES ETOILES” DANS DES ZONES D’INTERVENTIONS DE L’UNICEF,Benin,N/A,CONSULTING,UNICEF,Unknown,19,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299991
212,NO GO 🔴,28.3%,"Consultancy services for To design and support early-stage operationalisation of an insightdriven, integrated demand creation strategy to increase desirability, demand and consumption of locally available, affordable, nutritious foods that are missing in t",Kenya,N/A,CONSULTING,UNICEF,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/297850
213,NO GO 🔴,28.3%,"INSTITUTIONAL CONSULTANCY TO PROVIDE TECHNICAL SUPPORT TO KAKUMA, KALOBEYEI, LETEIYA AND LOPUR WATER AND SANITATION COMPANY (KALWASCO) TO CARRY OUT A FULL SOCIO-ECONOMIC STUDY IN ITS SERVICE AREA",Kenya,N/A,CONSULTING,UNICEF,Unknown,18,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299706
214,NO GO 🔴,28.3%,RECRUTEMENT D’UN CABINET POUR LE RENFORCEMENT DES CAPACITES EN INGENIERIE PEDAGOGIQUE ET ADMINISTRATION DE PLATEFORME D’APPRENTISSAGE,Benin,N/A,CONSULTING,UNICEF,Unknown,18,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299762
215,NO GO 🔴,28.3%,RECRUTEMENT D’UN CABINET POUR L’ÉLABORATION DES DOCUMENTS TECHNIQUES POUR LE DEVELOPPEMENT DE LA PLATEFORME D’APPRENTISSAGE DES ENSEIGNANTS ET DES APPRENANTS DANS LES ENSEIGNEMENTS PRIMAIRE ET SECOND,Benin,N/A,CONSULTING,UNICEF,Unknown,18,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299766
216,NO GO 🔴,28.3%,Development of the Zanzibar Strategy for Accelerating Sanitation and Hygiene for All 2026-2031 (This tender is open to local institutional consultants only),United Republic of Tanzania,N/A,CONSULTING,UNICEF,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/298691
217,NO GO 🔴,28.3%,"Consultancy for Endline Evaluation of Catch Up Education Programme in Northwestern Province, Zambia",Zambia,N/A,CONSULTING,UNICEF,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299497
218,NO GO 🔴,28.3%,To conduct Focus Group Discussions (FGDs) and Key Informant Interviews (KIIs) on Teenage Pregnancy in Uganda,Uganda,N/A,CONSULTING,UNICEF,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299465
219,NO GO 🔴,28.3%,To Upgrade the Disability Management Information System (DMIS) for Uganda to Include a module on the National Child Disability Assistance Programme (NCDAP),Uganda,N/A,CONSULTING,UNICEF,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299463
220,NO GO 🔴,28.3%,Strengthening digital learning Ecosystems,Uganda,N/A,CONSULTING,UNICEF,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299382
221,NO GO 🔴,28.1%,Punjab Urban Land Systems Enhancement Project,Pakistan,Digital Transformation,NON-CONSULTING,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439061
222,NO GO 🔴,26.9%,"One Health for Pandemic Prevention, Food Systems Resilience, and Ecosystem Health in Central Asia",Central Asia,Health & Life Sciences,CONSULTING,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440621
223,NO GO 🔴,26.6%,Geospatial Infrastructure for Sustainable Territorial Development,Uzbekistan,Transport & Logistics,CONSULTING,World Bank,"1,600,000 USD",13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439307
224,NO GO 🔴,26.4%,China HCFC Phaseout Project Stage II,China,N/A,CONSULTING,World Bank,Unknown,7,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441711
225,NO GO 🔴,26.4%,Lebanon Green Agrifood Transformation for Economic Recovery (GATE),Lebanon,N/A,CONSULTING,World Bank,Unknown,12,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440545
226,NO GO 🔴,26.4%,Statistical Innovation and Capacity Building in the Pacific Islands,Pacific 1,N/A,CONSULTING,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441716
227,NO GO 🔴,26.4%,Mangroves for Coastal Resilience Project,Indonesia,N/A,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00435783
228,NO GO 🔴,26.4%,Host and Rohingya Enhancement of Lives Project,Bangladesh,N/A,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441429
229,NO GO 🔴,26.4%,Mangroves for Coastal Resilience Project,Indonesia,N/A,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00435863
230,NO GO 🔴,26.3%,RFP - Expansion of the Belize National Statistical System (BNSS) Portal,Belize,"Data, AI & Analytics",CONSULTING,United Nations Development Programme (UNDP),Unknown,13,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44945
231,NO GO 🔴,26.2%,Inga 3 Development Program,Congo,Others,CONSULTING,World Bank,Unknown,6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437334
232,NO GO 🔴,25.6%,for “Communication for Development Interventions - Adloun,Lebanon,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,19,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45153
233,NO GO 🔴,25.6%,Analysis of Social Media and Capacity Building of Youths,Nepal,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,11,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45151
234,NO GO 🔴,25.6%,Provision of Technical and Advisory Services,Indonesia,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,10,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45099
235,NO GO 🔴,25.6%,RFP Quarterly Remittance Trends Analysis and Ecosystem Monitoring,Bangladesh,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,10,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45130
236,NO GO 🔴,25.6%,RFP FOR HIRING A FIRM TO DEVELOP eVC (ELECTRONIC VILLAGE COURTS) SYSTEM,Bangladesh,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45200
237,NO GO 🔴,25.6%,REQUEST FOR INFORMATION (RFI) FROM Private Entities,Afghanistan,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45120
238,NO GO 🔴,25.6%,RFP_004_2026_National Firm Strengthen MSME Digital Capabilities,Laos,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,13,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45197
239,NO GO 🔴,24.8%,Request for Quotation – WSIS FORUM 2026 INTERACTIVE DIGITAL BOOTHS,Switzerland,Enterprise IT & Systems Implementation,CONSULTING,ITU,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299073
240,NO GO 🔴,24.1%,Progestão Acre: Public Sector Management Efficiency,Brazil,Financial Services,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441541
241,NO GO 🔴,23.9%,Project endline evaluation study ( 26-198),Pakistan,Business Strategy & Performance,CONSULTING,FAO,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299271
242,NO GO 🔴,22.7%,Togo Consultant chargé de la mise en place d’un dispositif pilote d’assurance agricole,Togo,"Agriculture & Food Security, Environment & Climate",CONSULTING,African Development Bank (AfDB),Unknown,13,2,2026-05-06,afdb,https://www.afdb.org/en/documents/ami-togo-consultant-charge-de-la-mise-en-place-dun-dispositif-pilote-dassurance-agricole-pajec
243,NO GO 🔴,22.4%,Empowering Women Entrepreneurs and Upgrading MSMEs for Economic Transformation and Jobs in DRC Proje,Congo,Business Strategy & Performance,WORKS,World Bank,"3,000,000 USD",14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439235
244,NO GO 🔴,22.3%,"Translation of Women in Business and Management global report into Spanish, International Labour Organization",Multiple Destinations,N/A,NON-CONSULTING,ILO,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299997
245,NO GO 🔴,22.3%,Insurance policy for International Labour Organization Doha Office Car,Qatar,N/A,NON-CONSULTING,ILO,Unknown,2,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299728
246,NO GO 🔴,22.3%,"Translation of Women in Business and Management global report into French, International Labour Organization",Multiple Destinations,N/A,NON-CONSULTING,ILO,Unknown,8,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299998
247,NO GO 🔴,22.2%,2026-Consultancy for the Review of Health Information Systems Platforms Currently in Use at the World Health Organization Regional Office for Africa,Congo,Health & Life Sciences,CONSULTING,WHO,Unknown,12,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/298750
248,NO GO 🔴,22.1%,Multinational Consultancy Services - Project Accountant - Building Blue Economy Resilience and Prosperity in IGAD and Horn of Africa,Multinational,"Enterprise IT & Systems Implementation, Social Protection & Poverty Reduction",CONSULTING,African Development Bank (AfDB),Unknown,148,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-multinational-consultancy-services-project-accountant-building-blue-economy-resilience-and-prosperity-igad-and-horn-africa
249,NO GO 🔴,21.7%,Provision of Third-party monitoring (TPM) services for OCHA Nigeria Humanitarian Fund,Nigeria,N/A,CONSULTING,UN Secretariat,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299901
250,NO GO 🔴,21.7%,For the provision of Independent Project Risk Management and Risk Control Consultancy Services for the Renovation and Expansion of the Conference Facilities Project at the United Nations Office at Nairobi (UNON),Kenya,N/A,CONSULTING,UN Secretariat,Unknown,14,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299911
251,NO GO 🔴,21.7%,RFQ No UNFPA/ESARO/RFQ/26/012 for Research services to conduct an in-depth global & regional systematic (NDC 3.0 and BTR) review,South Africa,N/A,CONSULTING,UNFPA,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299502
252,NO GO 🔴,21.7%,Digital Self-Care for SRHR Pilot Implementation,South Africa,N/A,CONSULTING,UNFPA,Unknown,11,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299887
253,NO GO 🔴,21.6%,Prestataire de services (Firme) pour le renforcement du dialogue communautaire e,Haiti,Marketing & Customer Experience,CONSULTING,United Nations Development Programme (UNDP),Unknown,13,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44943
254,NO GO 🔴,21.0%,Quantifying Success – Socio-Economic Impact Assessment of the UNDP/UNCDF Credit,Afghanistan,"Financial Services, Social Protection & Poverty Reduction",CONSULTING,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44998
255,NO GO 🔴,20.9%,Evaluation of International Organization for Migration approach to knowledge management,Switzerland,Enterprise IT & Systems Implementation,CONSULTING,IOM,Unknown,9,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/297876
256,NO GO 🔴,20.9%,Multinational International Transport Statistics Expert - Transitional Support Facility (TSF) – Capacity Building for Gender and Infrastructure Statistics in Transition States – PHASE1,Multinational,"Social Protection & Poverty Reduction, Transport & Logistics",CONSULTING,African Development Bank (AfDB),Unknown,2,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-multinational-international-transport-statistics-expert-transitional-support-facility-tsf-capacity-building-gender-and-infrastructure-statistics-transition-states-phase1
257,NO GO 🔴,20.7%,East Africa Girls' Empowerment and Resilience,Southwest Indian Ocean,Social Protection & Poverty Reduction,NON-CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00439747
258,NO GO 🔴,20.6%,Accelerating Transport and Trade Connectivity in Eastern South Asia Phase 2 - Bhutan Project,Bhutan,Transport & Logistics,CONSULTING,World Bank,"77,560 DZD",2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00437548
259,NO GO 🔴,20.3%,Tripura Rural Economic Growth and Service Delivery Project,India,N/A,CONSULTING,World Bank,Unknown,22,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442452
260,NO GO 🔴,20.3%,Provision of Entrepreneurship Training and Business Development Programme for MSMEs in the Kotu Stream in the Gambia,Gambia,N/A,CONSULTING,ITC,Unknown,7,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299543
261,NO GO 🔴,20.2%,"Call for External Collaborators- Social Protection and Climate Finance Expert, International Labour Organization CO-Manila",Philippines,"Environment & Climate, Risk & Compliance",CONSULTING,ILO,Unknown,5,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299339
262,NO GO 🔴,20.0%,"136632 - SERVICIO PARA VALIDAR LOS INDICADORES SOCIO-ECOLÓGICOS MULTIESCALA Y EL ÍNDICE DE SUSTENTABILIDAD DEL PAISAJE, EN EL PAISAJE PILOTO DEL PROYECTO GEF DE LA REGIÓN DE VALPARAÍSO",Chile,Risk & Compliance,CONSULTING,FAO,Unknown,20,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299127
263,NO GO 🔴,19.7%,Consultancy Firm to conduct CRV Assessment,Yemen,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,22,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45104
264,NO GO 🔴,19.6%,Innovation Systems and Portfolio Workshop 10-13 June 2026 in Hammamet,Tunisia,N/A,CONSULTING,IOM,Unknown,4,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299916
265,NO GO 🔴,19.4%,Peru: Strengthening of the Public Health Emergency Preparedness and Response,Peru,Health & Life Sciences,CONSULTING,World Bank,Unknown,10,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440891
266,NO GO 🔴,18.6%,Mongolia Transport Connectivity and Logistics Improvement Project,Mongolia,Transport & Logistics,CONSULTING,World Bank,"500,000 USD",8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440502
267,NO GO 🔴,18.6%,HQ Design and Provide Business Development Services (BDS) for Refugees and the Host Community in Greater Cairo and Alexandria,Egypt,Social Protection & Poverty Reduction,NON-CONSULTING,ILO,Unknown,32,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299168
