title,portal,current_db_group,predicted_group,decided_by,needs_groq,nlp_gap
Wash Facilities and Canteen at Balata GS2 and Askar BS2- Nablus Area for Local Contractors only,ungm,Others,WORKS,NLP,False,0.0452
Adquisición de licencia y equipamiento de modelaje industrial,ungm,GOODS,GOODS,Layer 1,False,1.0
"Contratación de una empresa proveedora servicios logísticos para la realización de 3 talleres en la ciudad de Asunción, Paraguay - Oficina de Proyectos OIT Asunción",ungm,Others,CONSULTING,NLP,True,0.032
"RFQ Construction Contract for Small Works - Construction of Al-Mansoura Therapeutic Feeding Centre (TFC) – Al-Mansoura District, Beer Fadhl- Aden Republic of Yemen",ungm,WORKS,WORKS,Layer 1,False,1.0
APPEL D'OFFRES POUR L’INSTALLATION DE SERRES AGRICOLES ET DE SYSTEMES D’IRRIGATION SUR LE SITE DE LA Food and Agriculture Organization GUINEE,ungm,WORKS,WORKS,Layer 1,False,1.0
"Evaluation of the Project - “Strategic-Technical Support to the Jal Jeevan Mission""",ungm,CONSULTING,CONSULTING,NLP,False,0.0786
Fourniture et la livraison de petits matériels agricoles et d’ustensiles de cuisine à livrer dans le Sud de Madagascar,ungm,GOODS,GOODS,Layer 1,False,1.0
services for the development of a full design package for site development and the construction of a greenhouse platform,ungm,WORKS,WORKS,Layer 1,False,1.0
Hosting Capacity Building Session in Nathia Gali (18 to 24 April 2026),ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
CONSULTATION POUR LA FOURNITURE DES EQUIPEMENTS DE CLIMATISATION,ungm,GOODS,GOODS,Layer 1,False,1.0
Development of National OSH Policy and Implementation Framework for Pakistan,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Provision of Photography Tour Package - SafeDay 2026 Campaign,ungm,Others,NON-CONSULTING,NLP,False,0.0564
Employment Impact Assessment in Pakistan: Implications of the Crisis in the Arab Region and Pakistan–Afghanistan Tensions on Workers and Labour Market in Pakistan,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Services for the Translation of the Child Functioning Module in Three Local Languages (Filipino, Cebuano and Waray)",ungm,Others,NON-CONSULTING,NLP,True,0.0037
"Enterprise (Occupational Health, Safety and Electronic Medical Records) Management Software",ungm,Others,CONSULTING,NLP,True,0.0152
Advancing Community-based Mental Health and Psychosocial Support and Suicide Prevention in Cambodia,ungm,Others,CONSULTING,NLP,True,0.0255
Develop interactive e-learning experience for Early Childhood Development (ECD) teachers in Thailand,ungm,Others,CONSULTING,NLP,False,0.0814
Recrutement d’un(e) consultant(e) externe pour la relecture et la finalisation de la traduction des manuels GERME en langue malagasy,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Recrutement d’un(e) Maître Formateur(trice) GERME pour la formation, la mise à niveau et la certification de formateurs International Labour Organization/MDG/RFQ/2026/48- ERR",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
International Institutional Consultancy to Develop a Climate Rationale and Facilitate a Joint Sector Review for the WASH Sector in Tajikistan,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Mise en place d'accords à long terme (4 ans) d'hébergement et d'organisation d'ateliers de l'UNESCO au nom de toutes les agences du Système des Nations Unies en Côte d'Ivoire,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
"Call for Expressions of interest (EOI) - Social Business Solutions (1st Batch) Business Development Grants for Entrepreneurs, SME's and Cooperatives/Associations - UNIDO Programme ""Poverty Alleviation and Inclusive Development Across Rural Sindh"" (PAIDAR",ungm,CONSULTING,CONSULTING,NLP,False,0.0854
"Provision of services related to ""Capacity building through training and mentorship to local trainers (ToT) and start-ups selection and incubation""",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
LRFP 9203186 for the Medical equipment for Ministry of Health,ungm,GOODS,GOODS,Layer 1,False,1.0
"PURCHASE OF TOOLS FOR TECHNICIANS AND WORKSHOPS UNDER PHILIPPINES HCFC PHASE-OUT MANAGEMENT PLAN STAGE III 190173 Your Bid must be submitted in TWO (2) SEPARATE PARTS, one of which shall contain the Technical Bid without price(s) and commercial terms via",ungm,GOODS,GOODS,Layer 1,False,1.0
Provision of Pest & Vector Control and Ground Maintenance Services,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Accords à Long Terme (LTA) avec des Prestataires de Services Financiers pour les Mécanismes de Transfert d’Assistance en Cash au Bénin,ungm,Others,CONSULTING,NLP,True,0.017
"Provision of services related to Development, Validation, Piloting, and Accreditation Support of ESG Training Curricula for India’s Machinery Sector",ungm,Others,CONSULTING,NLP,False,0.0782
"Scope of Work for Space Renovation and Furnishing of SiCalidad Paraguay – Project Office in Asuncion, Paraguay",ungm,WORKS,WORKS,NLP,False,0.138
"RfQ_Events Management Services_TLT Seghe, April 2026",ungm,GOODS,NON-CONSULTING,Layer 1,False,1.0
Supply of Physiotherapy Items (for Gaza Supplier only),ungm,GOODS,GOODS,Layer 1,False,1.0
LITB-2026-9203187 for the provision of BMS Kit in Lebanon,ungm,GOODS,GOODS,NLP,False,0.0985
"Transport Hire for Young Women Leadership Training, in Lae, Kokopo & Hagen",ungm,Others,NON-CONSULTING,NLP,True,0.0166
RFQ - Catering Services 8th to 30th April 2026,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Compra de elementos pedagógicos,ungm,GOODS,GOODS,NLP,False,0.0284
Adquisición de Ventiladores Mecánicos para la Provincia de Chubut,ungm,GOODS,GOODS,Layer 1,False,1.0
SERVICIOS ADMINISTRADOS DE PERSONAL PARA LA GESTIÓN DE EXPEDIENTES DE REGULARIZA,ungm,Others,CONSULTING,NLP,True,0.0096
Installation of Irrigation and Aquaculture equipment in Trinidad and Tobago,ungm,WORKS,WORKS,Layer 1,False,1.0
"AQUISIÇÃO DE DRONES, RECEPTORES GNSS RTK E RTX (ACQUISITION OF DRONES AND GNSS RECEIVERS L1/L2 RTK AND RTX)",ungm,GOODS,GOODS,Layer 1,False,1.0
Contrato Institucional para Análise de Dados em Imunização,ungm,Others,CONSULTING,NLP,False,0.145
COL RFQ CO42000005047 DOTACION,ungm,Others,GOODS,NLP,False,0.0161
Contratación de servicios para el desarrollo de software para la automatización de los formularios de Seguimiento de plagas y Evaluación de riesgo ABRIL 2026,ungm,Others,CONSULTING,NLP,False,0.0879
Adquisición de Equipos Médicos de diferentes especialidades para atención hospitalaria por Acuerdos a Largo Plazo (LTA) - Proceso 2,ungm,GOODS,GOODS,Layer 1,False,1.0
Call for External Collaborator – National Occupational Safety and Health Consultant for ACCEL Africa II Project- Ghana,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Fertilizantes para la producción de granos básicos (Maíz y Frijol) y Cultivos Nativos bajo sistemas sostenibles resilientes al clima,ungm,GOODS,GOODS,NLP,False,0.0321
Fortalecimiento económico a proyectos productivos,ungm,Others,WORKS,NLP,False,0.0269
Recrutement d’un cabinet-Expert pour la digitalisation de la plateforme d’information Nutritionnelle et de Sécurité Alimentaire,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Cargo Airlift (transportation) from Juba to Malakal 20MT, valued at $70,000",ungm,Others,GOODS,NLP,False,0.0788
"Provision of Domestic Return Air Tickets - Uyo, Bauchi, Sokoto and Lagos",ungm,Others,NON-CONSULTING,Layer 1,False,1.0
ITB for Rice Seeds,ungm,WORKS,GOODS,NLP,False,0.1056
Request for bid for Vehicle Accessories,ungm,GOODS,GOODS,NLP,False,0.0427
HQ. - Coaching for the start-up phase of National Pineapple Cooperative in Suriname,ungm,CONSULTING,CONSULTING,NLP,False,0.05
Achat des réactifs pour analyse bromatologique des aliments pour lapins,ungm,GOODS,GOODS,Layer 1,False,1.0
Travaux de maintenance de la toiture du bâtiment salle de formation NEDEX au Camp Kassaï,ungm,CONSULTING,WORKS,NLP,False,0.1441
COL PR CO42000004806 Fortalecer la estrategia de difusión de la JEP,ungm,Others,WORKS,NLP,False,0.0251
Original HP Toner Cartridges for HP Color LaserJet MFP 4303fdw Printers,ungm,Others,GOODS,NLP,False,0.0589
Pour la fourniture et transport de matériels informatiques à livrer au bureau de la Représentation de la Food and Agriculture Organization Madagascar : bureau Ankorahotra - 131/MAG,ungm,GOODS,GOODS,NLP,False,0.1482
Call for External Collaborator – Expert to update and complement the global training package on FPRW,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Adquisición de Equipo Audiovisual para TEKOTOPA, Centro Ambiental Itaipu -Segundo Llamado",ungm,GOODS,GOODS,Layer 1,False,1.0
"INVITATION TO BID FOR NOPV CONSUMABLES (Ziploc Bags, Batteries, Chalk, Biohazard Bags, Red Permanent Markers)",ungm,Others,GOODS,NLP,False,0.0243
Development of a Child Responsive Budgeting (CRB) Handbook,ungm,CONSULTING,CONSULTING,NLP,False,0.0612
Development of a National Learner Registry & Digital Credential for Education use case,ungm,CONSULTING,CONSULTING,NLP,False,0.0665
Call for External Collaborator – International Expert to Conduct Functional Assessment of the Labour Inspectorate of Serbia– DWT-CO Budapest,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Call for External Collaborator – Promotional Initiative on International Labour Standards (ILS) Related to Skills Development and Lifelong Learning,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Package # 5 – AF2 DIS: Demonstration of 15 Drip Irrigation Schemes in 1. Hassan Khail-A, 2. Hasan Khail-B, 3. Ghafoor Khail, 4. Paktia University, 5. Nughi, 6. Deya, 7. Basana, 8. Nawe Patana, 9. Sultani, 10. Gir, 11. Milma Kot Bagh, 12. Sahra Bagh, 13. Ag",ungm,WORKS,WORKS,NLP,False,0.0387
RFQ for an Experienced Firm to Deliver Specialized Skills and a Demonstration on Tractor-based Rural Feeder Road Maintenance in Sierra Leone,ungm,WORKS,WORKS,NLP,False,0.0406
Sewage Line and Boundary Wall behind the ATC in Neirab Camp (North Area),ungm,Others,WORKS,NLP,False,0.1644
INVITATION TO BID: Tender no. 2026/FAPHI/FAPHI/136227 - Life Jackets for Fisherfolks,ungm,Others,GOODS,NLP,False,0.0135
"Procurement of agricultural inputs (MPTG, agrofiber, and canopy tents) and Soil-bed preparation agriculture tools and seed drills",ungm,GOODS,GOODS,Layer 1,False,1.0
RE-TENDER GCP/SEC/011/GFF: Used 20-ft Shipping Containers and Consumable Materials Kit for Repackaging of Obsolete Pesticides,ungm,GOODS,GOODS,Layer 1,False,1.0
RFP-2026-235-LocationImprimantes,ungm,CONSULTING,WORKS,NLP,False,0.0355
Technical and capacity building support to strengthen ECCE implementation in Uttar Pradesh,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"National Gender Consultant to strengthen workplace systems on gender equality and prevention of violence and harassment, Better Work Haiti",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Supply of Laboratory Consumables to Cambodia,ungm,GOODS,GOODS,Layer 1,False,1.0
"Call for External Collaborator – Advancing Gender‑Responsive and Sustainable Migrant Resource Centres in Africa: Mapping, Analysis, and Strategic Recommendations",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
ITB for Construction of Buildings at the Centre for Vocational Excellence in Marine Transport at Salima Technical College in Malawi,ungm,WORKS,WORKS,Layer 1,False,1.0
"La fourniture de services de Transport, chargement et déchargement des tracteurs agricoles et accessoires vers les destinations finales en RDC",ungm,GOODS,GOODS,NLP,False,0.0399
"ITB 30000021163_Construction of police post (Nanga, Macomia)",ungm,WORKS,WORKS,Layer 1,False,1.0
Supply and Delivery of Professional Grade GPS Units (with Satellite Communication) and High-Precision Compass-Clinometers for Burundi,ungm,GOODS,GOODS,Layer 1,False,1.0
LRPS-2026-9202796-Establishing Long Term Arrangement (LTA)s for ISP Services for UN Office All Over Pakistan,ungm,Others,CONSULTING,NLP,True,0.0027
S FOR THE ESTABLISHMENT OF LONG TERAM ARRANGEMENT FOR THE PROVISION OF BUILDING REFURBISHMENT SERVICES,ungm,WORKS,WORKS,NLP,False,0.1345
"Development of technical design for the reconstruction of Gymnasium in Pljevlja, Montenegro(UNOPS-ESIM-2026-S-002)",ungm,CONSULTING,WORKS,Layer 1,False,1.0
"SUPPORTING THE DATA COLLECTION AND ANALYSIS OF IMPACT EVALUATION OF THE “Accelerating Climate Resilient Water, Sanitation and Hygiene Services for Schools and Health Facilities in Karamoja”",ungm,WORKS,CONSULTING,Layer 1,False,1.0
"External Mid-term Evaluation of Migration, Business and Human Rights in Asia",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Procurement and delivery of the furniture to Balochistan, (Only open for furniture Manufacturers- LITB-2026-9203167)",ungm,GOODS,GOODS,Layer 1,False,1.0
"SEMILLAS DE CILANTRO, MOSTAZA, PEPINO, RÁBANO Y ZAPALLO",ungm,GOODS,CONSULTING,NLP,True,0.002
FERTILIZANTES FÓRMULA 12-24-12 Y FERTILIZANTE DE NITRÓGENO ESTABILIZADO + POTASIO 30-0-17,ungm,GOODS,GOODS,NLP,False,0.0632
ALIMENTO CONCENTRADO PARA AVES EN ETAPA DE POSTURA Y BLOQUES MINERALIZADOS PARA GANADO BOVINO,ungm,Others,GOODS,NLP,False,0.0902
"Provision of Inverter, Battery and Internal Wiring Installaion for Four (4) Meeting Rooms in UNOPS, Yangon, Myanmar Office",ungm,Others,GOODS,NLP,False,0.0025
"Adquisición de repuestos de mallas para trituradoras y caucho amortiguador de mallas Plantas: El Tejar de Alanje, El Roble de Aguadulce, Uveros de Penonomé y San José de Las Tablas",ungm,GOODS,GOODS,Layer 1,False,1.0
Achats des articles non alimentaire pour les intervention à l'Est du Tchad,ungm,Others,GOODS,NLP,False,0.0594
"Appui à la préparation et à la tenue de la revue sectorielle de l’éducation, mise à jour des outils de planification et facilitation de la participation du Congo à la campagne du PME",ungm,CONSULTING,CONSULTING,NLP,False,0.09
INVITATION FOR EXPRESSION OF INTEREST FOR PREQUALIFICATION FOR PRE-DELIVERY INSPECTION SERVICES,ungm,Others,CONSULTING,NLP,True,0.0156
Procurement of Delivery and heavy-duty vehicles,ungm,GOODS,GOODS,Layer 1,False,1.0
Provision of Explosive Ordnance Risk Education (EORE) to vulnerable communities in the Kharkiv oblast of Ukraine,ungm,Others,CONSULTING,NLP,True,0.0046
Invitation à soumissionner pour la fourniture d'articles non alimentaires,ungm,GOODS,GOODS,NLP,False,0.0444
Water Conservation package development and training of teachers and school children,ungm,Others,WORKS,NLP,False,0.0543
Long Term Agreements (LTAs) of Communication Professionals and Companies for UNICEF Romania activities,ungm,Others,CONSULTING,NLP,True,0.0138
Achat des Kits wash pour les bénéficiaires de la province du Lac,ungm,GOODS,GOODS,Layer 1,False,1.0
"Provision of Capacity Building Program for Faculty and Curriculum Development: Master’s Program in Monitoring, Evaluation, Accountability and Learning (MEAL) as fully detailed in the attached TOR",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Zakat and Waqf Study in Nigeria,ungm,CONSULTING,CONSULTING,NLP,True,0.0216
Development and pilot implementation of Digital Safekeeping,ungm,Others,NON-CONSULTING,NLP,True,0.0334
"Transcription, Production and Distribution of the Braille LSHE Framework",ungm,CONSULTING,GOODS,NLP,False,0.029
"PRESTATAIRES DE SERVICES D'ENTREPOSAGE, DE GESTION DES STOCKS ET DE DISTRIBUTION DES PRODUITS DE SANTÉ EN RDC",ungm,Others,GOODS,NLP,False,0.0266
"Provision of Mailing/Tracking Software License/Subscription/Maintenance, Equipment Rental/Maintenance Services, and Purchases of Devices/Consumable Supplies",ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Acordo de Longo Prazo (LTA) para a prestação de serviços de planejamento e compra de espaço de mídia para campanha de arrecadação de recursos por DRTV,ungm,GOODS,NON-CONSULTING,NLP,True,0.0303
"Perforación de pozo en la Planta Potabilizadora Casigua El Cubo, Municipio Jesús María Semprúm del Estado Zulia",ungm,WORKS,WORKS,NLP,False,0.0742
Recruitment of Lead HIV Program Consultant to support the development of Côte d’Ivoire’s grant application to the GC8,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Implementing Partner to co-design and implement the International Labour Organization’s Integrated I-UPSHIFT programme in Amhara Region and Benishangul Gumuz Regions in Refugee Camps,ungm,CONSULTING,CONSULTING,NLP,True,0.011
Organization/Company or Consortium to assess women s inclusion in agriculture,ungm,Others,CONSULTING,NLP,False,0.0713
Provision of Short Messaging Services (SMS) and Viber Messaging Services for the Private Sector Partnerships of United Nations High Commissioner for Refugees Philippines,ungm,Others,NON-CONSULTING,NLP,True,0.0299
IRQ - UNHCR ITB 2665 - INVITATION TO BID FOR THE ESTABLISHMENT OF A FRAME AGREEMENT FOR THE SUPPLY OF AND DELIVERY OF KEROSENE JERRYCANS IN IRAQ FOR THE DURTATION OF TWO YEARS (1+1),ungm,GOODS,GOODS,Layer 1,False,1.0
Consultation pour la réalisation d’une étude rétrospective des décès maternels et néonatals (2020–2025) dans la région de Béni Mellal–Khénifra,ungm,CONSULTING,CONSULTING,NLP,False,0.0421
"Purpose; Purchase of services related to Assessment for Fishery Cooperative Selection, Organizational Review, and Land Law Analysis in Puntland for a project in Somalia",ungm,GOODS,CONSULTING,NLP,True,0.0117
BEHAVIORAL STUDY IN VACCINATION IN GUINEA BISSAU,ungm,CONSULTING,GOODS,NLP,False,0.0019
"Lease of Office Space in Villavicencio, Colombia",ungm,NON-CONSULTING,NON-CONSULTING,NLP,False,0.0737
Purpose: services related to the design and implementation of digital communication campaigns,ungm,CONSULTING,CONSULTING,NLP,True,0.0032
"Thematic research on the impact of decrees on women and girls, and their experie",ungm,CONSULTING,CONSULTING,NLP,False,0.0592
Carrying out a benchmarking exercise for the CJFR (Centre de la Jeune Fille rurale),ungm,CONSULTING,CONSULTING,NLP,False,0.0462
Purpose: purchase of services related to digital marketing and content production services for eight boutiques,ungm,GOODS,GOODS,Layer 1,False,1.0
RFQ2026-02 EoI Sistema de Medición y Monitoreo Alfabetización Inicial,ungm,GOODS,CONSULTING,NLP,True,0.01
"005 Servicio de transporte fluvial de carga y de pasajeros para los departamentos de Antioquia,Caquetá,Córdoba, Nariño y Putumayo",ungm,CONSULTING,NON-CONSULTING,NLP,False,0.0847
UNICEF New Water Sources for Damascus Metropolitan - Provide proper Safe water to the affected people in Damascus and Rural Damascus,ungm,Others,WORKS,NLP,False,0.0575
PROVISION OF EVENT FACILITATION SERVICES FOR UNHCR SUDAN IN KHARTOUM,ungm,CONSULTING,NON-CONSULTING,NLP,False,0.0472
PROVISION OF CONFERENCE SERVICES INCLUSIVE OF CATERIMG SERVICES FOR UNHCR SUDAN OPERATION IN PORT SUDAN AND KHARTOUM,ungm,NON-CONSULTING,NON-CONSULTING,NLP,False,0.0425
New Water Sources for Damascus Metropolitan - Provide proper Safe water to the affected people in Damascus and Rural Damascus,ungm,Others,WORKS,NLP,False,0.0843
Servicios de vales electrónicos/físicos para canje en supermercados,ungm,Others,GOODS,NLP,False,0.0261
"Rehabilitation and Climate-Resilient Upgrading of Essential Infrastructure in Primary Health Care Centers (PHCs) , with focus on Climate-Resilient WASH Systems",ungm,WORKS,WORKS,Layer 1,False,1.0
"Provision of Bulk Fuel-Aviation Fuel (JETA1) and Ground Fuel (Diesel) for UNSOS in Mogadishu, Somalia",ungm,GOODS,GOODS,NLP,False,0.0429
Supply of agro-processing equipment to support MSMEs in Jamaica (THIS UNIDO TENDER IS RESTRICTED TO BIDDERS LOCATED IN JAPAN),ungm,GOODS,GOODS,Layer 1,False,1.0
"Study, diagnosis, and design of a governance model for Rural Young Girls’ Centers (CJFR)",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
"Conference & Accommodation Packages for Young Women Leadership Training, Lae",ungm,Others,CONSULTING,NLP,True,0.0158
"Provision of Conference venue, Equipment hire for the National Statistics Indicator Framework (NSIF) workshop 22nd, 23rd, 24th April 2026",ungm,GOODS,CONSULTING,NLP,True,0.0305
Provision of Professional Service Provider for Organizing the Knowledge‑Sharing,ungm,Others,CONSULTING,NLP,True,0.004
RFQ - Photo and Video Documentary on Women’s Resilience Models in Nusa Tenggara,ungm,GOODS,CONSULTING,NLP,True,0.0002
Provision of Car wash service,ungm,Others,NON-CONSULTING,NLP,True,0.0087
EPP-RFQ-HTCO-23878-26-2102288(GDV) Achat de laptop et telephones,ungm,GOODS,GOODS,Layer 1,False,1.0
ADQUISICION DE INSUMOS AGRICOLAS. PROYECTO SALVA,ungm,GOODS,GOODS,Layer 1,False,1.0
ADQUISICION DE SISTEMA PARA PRODUCCION DE PECES Y VEGETALES. PROYECTO SALVA,ungm,GOODS,GOODS,Layer 1,False,1.0
Procurement of fertilizers for Togo,ungm,GOODS,GOODS,Layer 1,False,1.0
ADQUISICION DE EQUIPOS DE LABORATORIOS. PROYECTO SALVA,ungm,GOODS,GOODS,Layer 1,False,1.0
136234 SEMILLA VEGETATIVA (ESTACAS) DE CAÑA PANELERA CHOCO,ungm,Others,GOODS,NLP,False,0.0175
ADQUISICION DE MAQUINARIAS AGRICOLAS 2026.PROYECTO MAS-DESIRA,ungm,GOODS,GOODS,Layer 1,False,1.0
Provision of assets Insurance coverage against all risks under an LTA for 1 year,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Global Long-Term Agreement for Emergency Trauma Bags (ETBs),ungm,Others,WORKS,NLP,False,0.0177
Suministro de Refacciones (Piezas) para Equipo Pesado del Ministerio de Obras Públicas (MOP) a Nivel Nacional,ungm,WORKS,GOODS,Layer 1,False,1.0
Invitation to Bid (ITB) - Refurbishment of Biocontrol Laboratory under Project GCP/GLO/479/CPR,ungm,WORKS,WORKS,Layer 1,False,1.0
TRAVAUX DE RENOVATION DU SYSTEME ELECTRIQUE DE LA Food and Agriculture Organization NIGER,ungm,WORKS,WORKS,Layer 1,False,1.0
Fuel Monitoring System,ungm,GOODS,WORKS,NLP,False,0.0202
"ACHAT DE SEMENCES PLUVIALES (mil, sorgho, niébé, arachide, sésame, G4 de mil, G4 de niébé)",ungm,GOODS,GOODS,Layer 1,False,1.0
Procurement of Minerals Supplement and Multivitamin Supplement,ungm,GOODS,GOODS,Layer 1,False,1.0
Servicio de soporte técnico audiovisual para reuniones y eventos - RFQ/66/2026/MIP/ROLAC,ungm,Others,NON-CONSULTING,NLP,False,0.0762
"ESTABLISHMENT OF THE NATIONAL B2B, B2C EXPORT E-COMMERCE MARKETPLACE FOR PROMOTION OF NATIONAL HAND IN HAND PRIORITY PRODUCTS",ungm,Others,GOODS,NLP,False,0.1118
Convocatoria para elaboración de estudio del entorno empresarial y desarrollo de propuestas de reforma orientadas a las MiPymes del sector comercio y servicios en Uruguay,ungm,Others,CONSULTING,Layer 1,False,1.0
"Contratación de un Hotel en Bogotá que preste el servicio de Alojamiento y alquiler de Salón, Ayudas Audiovisuales y Catering, para el “Programa de Formación de Jueces Laborales en Colombia""",ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Convocatoria de servicios para la Implementación de la campaña de difusión piloto experimental de formalización del trabajo en casas particulares,ungm,GOODS,CONSULTING,NLP,True,0.0308
One-month Civil Registration Media Campaign- Social media platforms,ungm,Others,NON-CONSULTING,NLP,False,0.0438
GCF (PEARL) x Invitation to Bid (ITB) x Supply and installation of eighty-nine (89) net houses with drip irrigation system at Siem Reap Province,ungm,WORKS,WORKS,Layer 1,False,1.0
Security Assessment Services,ungm,CONSULTING,CONSULTING,NLP,False,0.1001
External Collaboration Contract_Update the EPIC Legal Database (Phase II),ungm,Others,CONSULTING,NLP,True,0.0348
"GCP /SEC/027/PAF: Provision of conference and catering services for ""Zoonotic infections and their impact""",ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
DEMANDE DE PROPOSITION POUR LE TRANSPORT DES MIGRANTS,ungm,Others,NON-CONSULTING,NLP,False,0.0528
4008: Procurement of fruit seedlings and vegetable seeds,ungm,GOODS,GOODS,Layer 1,False,1.0
LTA - Expression of Interest (EOI (EOI) - Car Rental Services Mozambique,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
(RFQ): Provision of Vehicle Repair Services,ungm,GOODS,NON-CONSULTING,NLP,True,0.0145
"Rehabilitation and Improvement of Regional Fisheries Research Center (RFRC) Bongao, Tawi-Tawi Philippines",ungm,WORKS,CONSULTING,NLP,True,0.0276
GET Ahead Trainer Training and Certification,ungm,Others,CONSULTING,NLP,False,0.1443
Achat de 10 voitures citadines,ungm,GOODS,GOODS,Layer 1,False,1.0
The Provision of Rehabilitation Services for Persons with Disabilities through Inclusive Mobile Outreach Units in the Southern Area. for local suppliers only,ungm,WORKS,WORKS,NLP,False,0.0199
The Provision of Rehabilitation Services for Persons with Disabilities through Inclusive Mobile Outreach Units in the Central Area. For local suppliers only,ungm,WORKS,WORKS,NLP,False,0.0227
(RFQ) for the Provision of Consultancy Services for Establishing a Regulatory Fast-Track Platform for SLEWRC,ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
The Provision of Rehabilitation Services for Persons with Disabilities through Inclusive Mobile Outreach Units in the Northern Area. - local suppliers only,ungm,WORKS,WORKS,NLP,False,0.0177
"ITB # 136246 - Package # 7 – IS: Restoration of the Irrigation Scheme of Ety Aregh Canals in the Almar District of Faryab Province, North/Mazar Regional Office of Afghanistan",ungm,WORKS,WORKS,NLP,False,0.1013
"136253-Contratación de Servicios Comerciales en: Fortalecimiento de capacidades para el uso de Buenas Prácticas de Manufactura, procesos de certificación, inocuidad y trazabilidad, en la transformación de la producción agropecuaria",ungm,Others,GOODS,NLP,False,0.044
"Tender No.2026/FAPHI/FAPHI/136252- Services for Baseline Assessment, Inventory, Mapping, and Technical Design for Urban Aquaculture Pilot Development",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Local de eventos para retiro y team building de oficina,ungm,WORKS,NON-CONSULTING,Layer 1,False,1.0
"Procurement of Ebola Vaccines of assured quality for Stockpiling and Use, including stockpile management, storage, maintenance, replenishment, delivery and destruction of vaccines upon expiry",ungm,GOODS,GOODS,Layer 1,False,1.0
(RFP) for the Provision of Evaluation of International Organization for Migration's Approach to Regular Migration Pathways Services,ungm,CONSULTING,NON-CONSULTING,NLP,True,0.0074
INVITATION TO BID: ITB-PSP-IT-2026-001 FOR THE ESTABLISHMENT OF A FRAME AGREEMENT FOR THE PROVISION OF PRINTING SERVICES FOR FACE-TO-FACE AND PPH MATERIALS IN ITALY,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
LOTE I: Latrinas e Sistemas de Energia em Escolas LOTE II: Furos de Agua e Sistemas Fotovoltáicos em Escolas,ungm,Others,WORKS,NLP,False,0.1447
"EXPRESSION OF INTEREST FOR SUPPLY OF LOCALLY PRODUCED RICE, BEANS AND IODIZED SALT",ungm,GOODS,GOODS,Layer 1,False,1.0
"Long-Term Agreement for Provision of computer-assisted translation, terminology, editing, search and translation management tools for World Health Organization language services",ungm,GOODS,CONSULTING,NLP,True,0.0156
"FOR THE RENOVATION AND INSTALLATION OF SOLAR SYSTEM AT YELEWATA PRIMARY SCHOOL, BENUE STATE",ungm,WORKS,WORKS,Layer 1,False,1.0
"RFP9203178 Campaña Comunitaria SBC CCC para Contratación de Consultoría para la implementación, monitoreo y escalamiento de la campaña comunitaria Come como Campeón y Campeona",ungm,CONSULTING,CONSULTING,Layer 1,False,1.0
Location de véhicule toit terrain (tout type) avec chauffeur et manutentionnaire,ungm,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
Provision of External Evaluation of the Regional Development and Protection Services,ungm,CONSULTING,CONSULTING,NLP,False,0.1015
Computing and Audiovisual Equipment for RSMC Nairobi,ungm,GOODS,GOODS,NLP,False,0.0684
Consultation Nationale pour le recrutement des entreprises spécialisées dans la réalisation d'un forage équipé d'une pompe solaire pour alimenter le Bureau de 4 Agences des Nations Unies,ungm,WORKS,CONSULTING,NLP,True,0.0066
Framework Agreements for Taxi Services in several major cities in Kenya,ungm,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
