id,tender_id,source_portal,title_clean,country_name_normalized,sector,procurement_group,budget,currency,days_to_deadline,status_normalized,lifecycle_stage,notice_type_normalized,procurement_method_name,organisation_name,funding_agency,enrichment_status,go_no_go,score_breakdown
12089,1,worldbank,Mozambique Safer Roads for Socio-Economic Integration Program,Mozambique,"[""Social Protection & Poverty Reduction""]",WORKS,500000.0,USD,49,open,procurement,Invitation for Bids,Request for Bids,National Road Authority,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Social Protection & Poverty Reduction(1.5) | budget=medium(460,000€)(2.0) | country=Mozambique(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=49d(normal=1.0) | TOTAL=0.0 → NO GO (disqualified)"
12574,486,worldbank,Water Services and Institutional Support Project,Uzbekistan,"[""Water, Sanitation & Waste""]",CONSULTING,78000000.0,USD,14,open,procurement,Expression of Interest,Quality and Cost-Based Selection,"""UZSUVTAMINOTI"" JSC",World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Water, Sanitation & Waste(1.0) | budget=large(71,760,000€)(3.0) | country=Uzbekistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=14.0/13.0 → GO"
12575,487,worldbank,Empowering Women Entrepreneurs and Upgrading MSMEs for Economic Transformation and Jobs in DRC Proje,Congo,"[""Business Strategy & Performance""]",GOODS,,,3,open,procurement,Invitation for Bids,Request for Bids,Ministry of Entrepreneurship and Small Medium Enterprises,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Business Strategy & Performance(3.0) | budget=unknown(1.0) | country=Congo(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12576,488,worldbank,Cameroon-Chad Transport Corridor,Western And Central Africa,"[""Transport & Logistics""]",GOODS,,,13,open,procurement,Invitation for Bids,Request for Bids,Ministry of Transport,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Transport & Logistics(1.0) | budget=unknown(1.0) | country=Western And Central Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=13d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12577,489,worldbank,Food Systems Resilience Program for Eastern and Southern Africa,Eastern And Southern Africa,"[""Agriculture & Food Security""]",WORKS,500000.0,ETB,20,open,procurement,Invitation for Bids,Request for Bids,Oromia Region Woreda-FSRP,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Agriculture & Food Security(1.0) | budget=medium(460,000€)(2.0) | country=Eastern And Southern Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=20d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)"
12578,490,worldbank,Comoros National Water Resilience Project,Comoros,"[""Environment & Climate""]",GOODS,,,6,open,procurement,Invitation for Bids,Request for Bids,Comoros National Water Resilience Project,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Comoros(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=6d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12579,491,worldbank,Improving Mental Health Services in Sint Maarten,St Maarten,"[""Health & Life Sciences"", ""Social Protection & Poverty Reduction""]",WORKS,,,2,open,procurement,Invitation for Bids,Request for Bids,National Recovery Program Bureau,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Social Protection & Poverty Reduction(1.5) | budget=unknown(1.0) | country=St Maarten(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=2d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12580,492,worldbank,Access Governance & Reform for the Electricity and Water Sectors Project,Congo,"[""Energy & Utilities""]",WORKS,30000.0,USD,3,open,procurement,Invitation for Bids,Request for Bids,UNITE DE COORDINATION ET MANAGEMENT DES PROJETS DU MINISTERE,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Energy & Utilities(1.0) | budget=small(27,600€)(0.5) | country=Congo(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12581,493,worldbank,Water Services and Institutional Support Project,Uzbekistan,"[""Water, Sanitation & Waste""]",WORKS,,,3,open,procurement,Invitation for Bids,Request for Bids,"""UZSUVTAMINOTI"" JSC",World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=Uzbekistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12582,494,worldbank,Urban Water Supply Strengthening Project,Honduras,"[""Water, Sanitation & Waste""]",WORKS,,,6,open,procurement,Invitation for Bids,Request for Bids,Secretaria de Agricultura y Ganaderia,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=Honduras(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=6d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12583,495,worldbank,Digital and Energy Connectivity for Inclusion in Madagascar Project,Madagascar,"[""Digital Transformation""]",GOODS,,,7,open,procurement,Invitation for Bids,Request for Bids,DECIM,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Digital Transformation(3.0) | budget=unknown(1.0) | country=Madagascar(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12584,496,worldbank,Digital and Energy Connectivity for Inclusion in Madagascar Project,Madagascar,"[""Digital Transformation""]",GOODS,,,7,open,procurement,Invitation for Bids,Request for Bids,DECIM,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Digital Transformation(3.0) | budget=unknown(1.0) | country=Madagascar(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12585,497,worldbank,CAR - Emergency Infrastructure and Connectivity Recovery Project,Central African Republic,"[""Social Protection & Poverty Reduction"", ""Telecommunications""]",CONSULTING,,,17,open,procurement,Expression of Interest,Individual Consultant Selection,CEMAC-CAR - COORDINATION OF TRANSPORT-TRANSIT FACILITY PROJECT,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Social Protection & Poverty Reduction(1.5) | budget=unknown(1.0) | country=Central African Republic(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=17d(urgent=2.0) | TOTAL=13.5/13.0 → GO
12586,498,worldbank,Digital and Energy Connectivity for Inclusion in Madagascar Project,Madagascar,"[""Digital Transformation""]",GOODS,,,7,open,procurement,Invitation for Bids,Request for Bids,DECIM,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Digital Transformation(3.0) | budget=unknown(1.0) | country=Madagascar(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12587,499,worldbank,Digital and Energy Connectivity for Inclusion in Madagascar Project,Madagascar,"[""Digital Transformation""]",WORKS,,,7,open,procurement,Invitation for Bids,Request for Bids,DECIM,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Digital Transformation(3.0) | budget=unknown(1.0) | country=Madagascar(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12588,500,worldbank,Smallholder Agricultural Transformation Project,Angola,"[""Agriculture & Food Security""]",GOODS,20000.0,USD,1,open,procurement,Invitation for Bids,Request for Bids,Unidade de Implementação do Projeto (UIP),World Bank,nlp_complete,0,"proc_group=GOODS(DISQUALIFIED) | sector=Agriculture & Food Security(1.0) | budget=small(18,400€)(0.5) | country=Angola(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=1d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12589,501,worldbank,Djibouti Skills Development for Employment Project,Djibouti,"[""Employment & Skills Development""]",WORKS,,,6,open,procurement,Invitation for Bids,Request for Bids,Ministère de l'Education,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Employment & Skills Development(2.0) | budget=unknown(1.0) | country=Djibouti(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=6d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12590,502,worldbank,Digital Zambia Acceleration Project (DZAP),Zambia,"[""Digital Transformation""]",GOODS,,,18,open,procurement,Invitation for Bids,Request for Bids,SMART ZAMBIA,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Digital Transformation(3.0) | budget=unknown(1.0) | country=Zambia(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=18d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12591,503,worldbank,Bangladesh Regional Waterway Transport Project 1,Bangladesh,"[""Transport & Logistics""]",GOODS,25000.0,USD,15,open,procurement,Invitation for Bids,Request for Bids,Bangladesh Inland Water Transport Authority,World Bank,nlp_complete,0,"proc_group=GOODS(DISQUALIFIED) | sector=Transport & Logistics(1.0) | budget=small(23,000€)(0.5) | country=Bangladesh(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=15d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)"
12592,504,worldbank,Bangladesh Resilient Urban and Territorial Development Project,Bangladesh,"[""Social Protection & Poverty Reduction""]",CONSULTING,,,14,open,procurement,Expression of Interest,Quality and Cost-Based Selection,Local Government Engineering Department,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Social Protection & Poverty Reduction(1.5) | budget=unknown(1.0) | country=Bangladesh(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=12.5/13.0 → NO GO
12593,505,worldbank,"One Health for Pandemic Prevention, Food Systems Resilience, and Ecosystem Health in Central Asia",Central Asia,"[""Environment & Climate""]",GOODS,,,14,open,procurement,Invitation for Bids,Request for Bids,State Institute “Agriculture Entrepreneurship Development”,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Central Asia(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12594,506,worldbank,"One Health for Pandemic Prevention, Food Systems Resilience, and Ecosystem Health in Central Asia",Central Asia,"[""Environment & Climate""]",GOODS,,,14,open,procurement,Invitation for Bids,Request for Bids,State Institute “Agriculture Entrepreneurship Development”,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Central Asia(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12595,507,worldbank,Dar es Salaam Urban Transport Improvement Project,United Republic of Tanzania,"[""Transport & Logistics""]",WORKS,17000000.0,USD,2,open,procurement,Invitation for Bids,Request for Bids,Tanzania National Roads Agency,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Transport & Logistics(1.0) | budget=large(15,640,000€)(3.0) | country=United Republic of Tanzania(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=2d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12596,508,worldbank,Climate Resilience Multi-Phase Programmatic Approach,Sri Lanka,"[""Environment & Climate""]",GOODS,1200000.0,USD,4,open,procurement,Invitation for Bids,Request for Proposals,MINISTRY OF IRRIGATION,World Bank,nlp_complete,0,"proc_group=GOODS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=large(1,104,000€)(3.0) | country=Sri Lanka(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=4d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12597,509,worldbank,Economic Transformation for Inclusive Growth Project,Madagascar,"[""Social Protection & Poverty Reduction"", ""Digital Transformation""]",WORKS,78730.0,DZD,13,open,procurement,Invitation for Bids,Request for Bids,Economic Transformation for Inclusive Growth,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Digital Transformation(3.0) | budget=small(543€)(0.5) | country=Madagascar(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=13d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12598,510,worldbank,Economic Acceleration and Resilience for NEET (EARN),Bangladesh,"[""Environment & Climate"", ""Social Protection & Poverty Reduction""]",CONSULTING,,,5,open,procurement,Expression of Interest,Quality and Cost-Based Selection,Department of Youth Development,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Social Protection & Poverty Reduction(1.5) | budget=unknown(1.0) | country=Bangladesh(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=5d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12599,511,worldbank,GAS SECTOR EFFICIENCY IMPROVEMENT AND CARBON ABATEMENT PROJECT,Bangladesh,"[""Environment & Climate""]",WORKS,12000.0,TND,10,open,procurement,Invitation for Bids,Request for Bids,Pashchimanchal Gas Company Limited (PGCL),World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=small(3,600€)(0.5) | country=Bangladesh(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=10d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)"
12600,512,worldbank,Kyrgyz Republic Air Quality Improvement Project,Kyrgyz Republic,"[""Environment & Climate""]",WORKS,,,2,open,procurement,Invitation for Bids,Request for Bids,"Ministry of Natural Resources, Ecology and Technical Supervision of the KR",World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Kyrgyz Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=2d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12601,513,worldbank,"One Health for Pandemic Prevention, Food Systems Resilience, and Ecosystem Health in Central Asia",Central Asia,"[""Environment & Climate""]",GOODS,1100.0,USD,4,open,procurement,Invitation for Bids,Request for Bids,State Institute “Agriculture Entrepreneurship Development”,World Bank,nlp_complete,0,"proc_group=GOODS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=small(1,012€)(0.5) | country=Central Asia(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=4d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12602,514,worldbank,Electricity Distribution Efficiency Improvement Project,Pakistan,"[""Energy & Utilities""]",CONSULTING,,,13,open,procurement,Expression of Interest,Quality and Cost-Based Selection,"Project Implementation Unit, Ministry of Energy (Power Division)",World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Energy & Utilities(1.0) | budget=unknown(1.0) | country=Pakistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=13d(very_urgent=3.0) | TOTAL=12.0/13.0 → NO GO
12603,515,worldbank,Urban Water Supply Strengthening Project,Honduras,"[""Water, Sanitation & Waste""]",WORKS,,,7,open,procurement,Invitation for Bids,Request for Bids,Secretaria de Agricultura y Ganaderia,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=Honduras(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=7d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)"
12604,516,worldbank,Sub-Saharan Africa Women’s Empowerment and Demographic Dividend Plus Project,Western And Central Africa,"[""Social Protection & Poverty Reduction""]",GOODS,150000.0,XOF,14,open,procurement,Invitation for Bids,Request for Bids,Sahel Women’s Empowerment and Demographics Project Chad,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Social Protection & Poverty Reduction(1.5) | budget=small(225€)(0.5) | country=Western And Central Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12605,517,worldbank,Sustainable Financing for Rogun Hydropower Project,Tajikistan,"[""Energy & Utilities""]",WORKS,,,17,open,procurement,Invitation for Prequalification,Request for Bids,Project Management Group for Energy Facilities Construction under the President of the RT,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Energy & Utilities(1.0) | budget=unknown(1.0) | country=Tajikistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=17d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12606,518,worldbank,Integrated Water Management and Development Project,Uganda,"[""Water, Sanitation & Waste""]",NON-CONSULTING,,,3,open,procurement,Invitation for Bids,Request for Bids,Ministry of Water and Environment,World Bank,nlp_complete,0,"proc_group=NON-CONSULTING(1.0) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=Uganda(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12607,519,worldbank,Bamako Urban Resilience project,Mali,"[""Environment & Climate"", ""Social Protection & Poverty Reduction""]",WORKS,,,20,open,procurement,Invitation for Bids,Request for Bids,"Ministry of Land Affairs, Urbanism and Housing",World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Social Protection & Poverty Reduction(1.5) | budget=unknown(1.0) | country=Mali(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=20d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12608,520,worldbank,Irrigation for Climate Resilience Project (ICRP),Uganda,"[""Environment & Climate""]",WORKS,,,1,open,procurement,Invitation for Bids,Request for Bids,Ministry of Water and Environment,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Uganda(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=1d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12609,521,worldbank,Decentralized Sustainable and Resilient Rural Water and Sanitation Project,Haiti,"[""Water, Sanitation & Waste""]",WORKS,,,12,open,procurement,Invitation for Bids,Request for Bids,AF-WSS,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=Haiti(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=12d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)"
12610,522,worldbank,Electricity Distribution Efficiency Improvement Project,Pakistan,"[""Energy & Utilities""]",GOODS,,,0,open,procurement,Invitation for Bids,Request for Bids,Peshawar Electric Supply Company,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Energy & Utilities(1.0) | budget=unknown(1.0) | country=Pakistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=0d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12611,523,worldbank,Indonesia Health Systems Strengthening Project,Indonesia,"[""Health & Life Sciences""]",GOODS,,,14,open,procurement,Invitation for Bids,Request for Bids,"Directorate General of Health Services, Ministry of Health, Republic of Indonesia",World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Health & Life Sciences(1.0) | budget=unknown(1.0) | country=Indonesia(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12612,524,worldbank,Integrated Water Management and Development Project,Uganda,"[""Water, Sanitation & Waste""]",WORKS,,,3,open,procurement,Invitation for Bids,Request for Bids,Ministry of Water and Environment,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=Uganda(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12613,525,worldbank,Indonesia Health Systems Strengthening Project,Indonesia,"[""Health & Life Sciences""]",GOODS,,,15,open,procurement,Invitation for Bids,Request for Bids,"Directorate General of Health Services, Ministry of Health, Republic of Indonesia",World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Health & Life Sciences(1.0) | budget=unknown(1.0) | country=Indonesia(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=15d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12614,526,worldbank,Sierra Leone Land Administration Project,Sierra Leone,"[""Mining & Natural Resources"", ""Construction & Infrastructure""]",GOODS,20000.0,USD,5,open,procurement,Invitation for Bids,Request for Bids,Ministry of Lands Housing and Country Planning,World Bank,nlp_complete,0,"proc_group=GOODS(DISQUALIFIED) | sector=Mining & Natural Resources(1.0) | budget=small(18,400€)(0.5) | country=Sierra Leone(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=5d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12615,527,worldbank,Jordan Water Sector Efficiency Project,Jordan,"[""Water, Sanitation & Waste""]",CONSULTING,300000000.0,USD,19,open,procurement,Expression of Interest,Quality and Cost-Based Selection,Miyahuna Water Company,World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Water, Sanitation & Waste(1.0) | budget=large(276,000,000€)(3.0) | country=Jordan(tier2=2.0) | funding_agency=World Bank(3.0) | deadline=19d(urgent=2.0) | TOTAL=14.0/13.0 → GO"
12616,528,worldbank,West Africa Food System Resilience Program (FSRP) Phase 2,Western And Central Africa,"[""Agriculture & Food Security""]",WORKS,,,20,open,procurement,Invitation for Bids,Request for Bids,Ministry of Agriculture and Food Security,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Agriculture & Food Security(1.0) | budget=unknown(1.0) | country=Western And Central Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=20d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12617,529,worldbank,Regional Climate Resilience Program for Eastern and Southern Africa 1 Project (RCRP1),Eastern And Southern Africa,"[""Environment & Climate""]",GOODS,,,0,open,procurement,Invitation for Bids,Request for Bids,EMERGENCY PREVENTION AND MANAGEMENT UNIT,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Eastern And Southern Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=0d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12618,530,worldbank,West Africa Food System Resilience Program (FSRP) Phase 2,Western And Central Africa,"[""Agriculture & Food Security""]",WORKS,,,11,open,procurement,Invitation for Bids,Request for Bids,Ministry of Agriculture and Food Security,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Agriculture & Food Security(1.0) | budget=unknown(1.0) | country=Western And Central Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=11d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12619,531,worldbank,Türkiye - EU IPA Energy Sector Program Phase IV Project - Offshore Wind Support,Turkiye,"[""Energy & Utilities""]",NON-CONSULTING,7986838.0,EUR,4,open,procurement,Invitation for Bids,Request for Bids,Ministry of Energy,World Bank,nlp_complete,0,"proc_group=NON-CONSULTING(1.0) | sector=Energy & Utilities(1.0) | budget=large(7,986,838€)(3.0) | country=Turkiye(tier2=2.0) | funding_agency=World Bank(3.0) | deadline=4d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12620,532,worldbank,Health Security Program in Western and Central Africa,Western And Central Africa,"[""Health & Life Sciences""]",GOODS,,,19,open,procurement,Invitation for Bids,Request for Bids,Unite de Gestion de Projets Sante,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Health & Life Sciences(1.0) | budget=unknown(1.0) | country=Western And Central Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=19d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12621,533,worldbank,Boosting Inclusive Growth for Zanzibar: Integrated Development Project,United Republic of Tanzania,"[""Social Protection & Poverty Reduction""]",WORKS,14000000.0,USD,13,open,procurement,Invitation for Bids,Request for Bids,Ministry Of Infrastructure Communications and Transport,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Social Protection & Poverty Reduction(1.5) | budget=large(12,880,000€)(3.0) | country=United Republic of Tanzania(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=13d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)"
12622,534,worldbank,Assam State Secondary Healthcare Initiative for Service Delivery Transformation (ASSIST) Project,India,"[""Health & Life Sciences""]",GOODS,,,19,open,procurement,Invitation for Bids,Request for Quotations,Assam Health Infrastructure Development and Management Society,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Health & Life Sciences(1.0) | budget=unknown(1.0) | country=India(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=19d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12623,535,worldbank,Bangladesh Private Investment & Digital Entrepreneurship Project,Bangladesh,"[""Digital Transformation"", ""Business Strategy & Performance""]",WORKS,3499.0,DZD,19,open,procurement,Invitation for Bids,Request for Bids,Bangladesh Economic Zones Authority,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Digital Transformation(3.0) | budget=small(24€)(0.5) | country=Bangladesh(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=19d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12624,536,worldbank,West Africa Regional Electricity Market Program (WA-REMP) MPA Phase 1 - Mauritania Transmission Corr,Mauritania,"[""Energy & Utilities""]",WORKS,,,10,open,procurement,Invitation for Prequalification,Request for Proposals,SOMELEC_BEST,World Bank,nlp_complete,0,proc_group=WORKS(DISQUALIFIED) | sector=Energy & Utilities(1.0) | budget=unknown(1.0) | country=Mauritania(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=10d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12625,537,worldbank,Kiribati Kiritimati Infrastructure Project,Kiribati,"[""Construction & Infrastructure""]",GOODS,,,19,open,procurement,Invitation for Bids,Request for Bids,"Ministry of Information, Communication and Transport",World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Construction & Infrastructure(1.0) | budget=unknown(1.0) | country=Kiribati(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=19d(urgent=2.0) | TOTAL=0.0 → NO GO (disqualified)
12626,538,worldbank,Accelerating Economic Diversification and Job Creation Project,Angola,"[""Employment & Skills Development""]",GOODS,,,5,open,procurement,Invitation for Bids,Request for Bids,Ministry of Economy and Planning,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Employment & Skills Development(2.0) | budget=unknown(1.0) | country=Angola(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=5d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12627,539,worldbank,Strengthening Primary Health Care and Surveillance in Haiti,Haiti,"[""Health & Life Sciences""]",GOODS,,,1,open,procurement,Invitation for Bids,Request for Bids,Project Implementation Unit UGP/MSPP,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Health & Life Sciences(1.0) | budget=unknown(1.0) | country=Haiti(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=1d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
