id,portal,title,status,tokens,error,scope_summary,project_program,financing_instrument,bid_process_type,contract_duration_months,eligibility_summary,specific_areas,submission_process
2441,worldbank,Economic Linkages for Diversification,ok,2215,,O Governo de Moçambique está contratando serviços para a produção de uma maquete digital e física para a Zona de Estância de Turismo Integrado de Crusse e Jamali. As principais tarefas incluem a criação de modelos que representem a área turística. O projeto é financiado por um donativo da Associação Internacional de Desenvolvimento (IDA) e o beneficiário é o Instituto Nacional do Turismo (INATUR). As propostas devem ser entregues em formato físico e não serão aceitas versões eletrônicas. O prazo para a entrega das propostas é até 12 de Maio de 2026.,Projecto de Ligações Económicas para Diversificação — P171664 (Donativo IDA N.o D810-MZ),grant,single_envelope,,"• Concorrentes de países elegíveis
• Propostas em português
• Garantia Bancária Provisória de 185.000,00MT","{""tags"": [""governance""], ""lots"": null}",As propostas devem ser entregues fisicamente no endereço do Ministério das Finanças até às 10:30 horas do dia 12 de Maio de 2026. Propostas em versão eletrónica não serão aceitas. As propostas devem ser válidas por 120 dias e acompanhadas por uma Garantia Bancária Provisória.
3768,worldbank,Second Tanzania Intermodal and Rail Development Project,ok,2408,,"The consultancy services required are for a Geologist/Geotechnical Expert to serve on the Dam Safety Panel of Experts. The expert will provide independent advisory services on geological and geotechnical aspects of dam safety, including reviewing geological investigations and providing advice on foundation conditions and slope stability. The work will focus on the Dar es Salaam–Isaka corridor, specifically in the Kinyasungwe Sub-Catchment. The consultant must ensure that geological risks are identified and addressed, contributing to the safety and resilience of dam operations. The beneficiary is the National Irrigation Commission of Tanzania.",Tanzania Intermodal and Rail Development Project (TIRP-2) — P176682 | IDA CREDIT NO.: 7529,loan,eoi_only,,"• Master's degree in Geology or related field
• 15 years relevant experience
• Professional registration required
• Experience in dam safety panels
• Strong English reporting skills","{""tags"": [""agriculture""], ""lots"": null}","Interested consultants should submit their expressions of interest along with supporting documents demonstrating their qualifications and experience. The submission should be in English and may require both physical and electronic formats, but specific details are not provided."
3761,worldbank,Lesotho Public Sector Foundations for Service Delivery Project,ok,2236,,"The consulting services required are for an Environmental and Social Specialist to ensure compliance with environmental, social, health, and safety guidelines during the implementation of the Public Sector Foundations for Service Delivery Project. Key tasks include acting as a focal point for environmental and social impact issues, monitoring compliance with national and World Bank standards, implementing environmental and social instruments, and preparing regular monitoring reports. The consultant will also provide advice on corrective measures for any adverse effects and ensure public disclosure of environmental and social standards. The assignment is expected to commence on June 01, 2026.",Public Sector Foundations for Services Delivery Project — P174171 (Loan No.: 74920 -LS),loan,eoi_only,24,"• Masters degree in Environmental Science or related fields
• At least 5 years of experience in environmental and social risk management
• Relevant experience in World Bank-financed projects","{""tags"": [""environment_social""], ""lots"": null}","Interested Consultants should submit their expressions of interest along with their curriculum vitae demonstrating relevant experience. Submissions can be made electronically or physically, and firms' staff may express interest through their employing firm."
3778,worldbank,"Guinea Natural Resources, Mining and Environmental Management Project",ok,2538,,"Le projet consiste à mettre en place une plateforme en ligne opérationnelle pour le suivi et l'évaluation des recettes et des investissements publics en République de Guinée. Les tâches principales incluent l'analyse du dispositif actuel de suivi-évaluation, la conception d'un Manuel de Suivi-Evaluation, la création de la plateforme digitale SERA, et la formation du personnel clé du Ministère du Budget. Le bénéficiaire est le Ministère de l'Economie, des Finances et du Budget. Le projet doit respecter les standards internationaux en matière de suivi et évaluation.","PROJET DE GESTION DES RESSOURCES NATURELLES, MINIERES ET DE L'ENVIRONNEMENT (PGRNME) - CREDIT IDA N° 6885 – GN ET DON IDA N° 8190 -GN",loan,eoi_only,,"• Min 10 ans d'expérience générale
• 2 missions similaires dans les 5 dernières années
• Connaissance des standards internationaux en S&E
• Expérience en Afrique de l'Ouest, idéalement en Guinée","{""tags"": [""digital"", ""governance""], ""lots"": null}","Les consultants intéressés doivent soumettre leur manifestation d'intérêt en fournissant des informations sur leurs qualifications et expériences pertinentes. La soumission doit être faite en format électronique, et les détails supplémentaires peuvent être obtenus à l'adresse indiquée dans l'avis."
3765,worldbank,Statistical Innovation and Capacity Building in the Pacific Islands,ok,2252,,"The assignment involves conducting a readiness assessment for continuous collection of household surveys. Key tasks include evaluating survey collection methodologies, providing consulting and analytical skills, and leveraging cross-cultural and regional experience. The project is based in Noumea, New Caledonia, and is expected to start in June 2026. The consulting services are aimed at improving the quality of welfare data collection in the Pacific Islands. The beneficiary of this project is the Pacific Community (SPC).",Statistical Innovation and Capacity Building in the Pacific Islands Project — P168182 (World Bank Grant E633-P3),grant,eoi_only,4,"• Relevant experience with survey collection methodologies
• Consulting, analytical, and advisory skills
• Cross-cultural and regional experience","{""tags"": [""capacity_building""], ""lots"": null}",Expressions of interest must be submitted in written form via e-mail. The submission deadline is 23:45 Noumea Time (GMT+11).
3758,worldbank,Second Tanzania Intermodal and Rail Development Project,ok,2425,,"The consultancy services required involve providing independent specialist advisory services on hydrological and hydraulic aspects of dam safety. The Hydrologist/Hydraulic Expert will assess flood risks, reservoir behavior, and hydraulic performance, ensuring these factors are integrated into the overall dam safety evaluation. Key tasks include reviewing hydrological data, evaluating flood hydrology, advising on flood-handling capacity, and contributing to dam safety documentation. The work will focus on the Kinyasungwe Sub-Catchment as part of the Tanzania Intermodal and Rail Development Project. The beneficiary is the National Irrigation Commission on behalf of the Government of Tanzania.",Tanzania Intermodal and Rail Development Project (TIRP-2) — P176682 | IDA CREDIT NO.: 7529,loan,eoi_only,,"• Master's degree in Hydrology or related field
• Professional registration with a recognized body
• 15 years of relevant experience
• Experience in flood hydrology and dam safety
• Strong analytical skills in English","{""tags"": [""water_sanitation""], ""lots"": null}","Interested consultants should submit their expressions of interest along with supporting documents demonstrating their qualifications and experience. The submission should be in English and may be submitted electronically or physically, as specified in the tender notice."
3060,worldbank,Resilient Productive Landscapes II,ok,2224,,"Sélection d'un consultant pour la conception et l'implémentation d'un système de suivi parcellaire dans les zones cibles du projet. Le consultant devra améliorer la productivité agricole et la résilience des petits exploitants tout en gérant les ressources naturelles. Les prestations s'étaleront sur une période de 180 jours à partir de la date de démarrage. Les services sont requis par le Ministère de l'Agriculture, des Ressources Naturelles et du Développement Rural et le Ministère de l'Environnement. Les consultants doivent démontrer leurs qualifications et leur expérience pertinente.",Projet Territoires Productifs Résilients II (TPR II) — IDA no E4250,grant,eoi_only,6,"• Préférablement 10 ans d'expérience en Agronomie ou Agroéconomie ou aménagement du territoire
• Au moins 3 ans d'expérience en collecte de données de terrain
• Capacité de développer des logiciels de collecte de données
• Mobiliser une équipe avec des compétences spécifiques","{""tags"": [""agriculture""], ""lots"": null}","Les manifestations d'intérêt doivent être transmises par courrier électronique en français au plus tard le 12 mai 2026, 23h45. Les consultants peuvent s'associer sous forme de groupement ou d'accord de sous-traitance."
2372,worldbank,Enhancing Resilience in Kyrgyzstan Project,ok,2052,,"The procurement involves the construction of School No. 2 for 500 students named after K. Ryskulova in the city of Kant, Issyk-Ata district, Chui region. The main tasks include all necessary construction works to complete the school building. The project is located in the Kyrgyz Republic. The contract realization period is set for 12 months. The beneficiary of this project is the Ministry of Emergency Situations of the Kyrgyz Republic.",Enhancing Resilience in Kyrgyzstan Project (ERIK AF) - Credit No.: 6687-KG; Grant No.: D6550-KG,grant,two_envelope,12,"• Appropriate License for construction
• Issued by State Agency for Architecture and Construction
• Open to all eligible Bidders as defined in Procurement Regulations","{""tags"": [""education""], ""lots"": null}","Bids must be delivered in sealed envelopes to the specified address before 14:00 hours (Bishkek time) on May 12, 2026. Electronic bidding is not permitted. The outer envelopes must be marked 'ORIGINAL BID' and the inner envelopes 'TECHNICAL PART'. Late bids will be rejected."
2365,worldbank,Burundi Jobs and Economic Transformation Project,ok,2400,,"Acquisition d'ordinateurs portables, tablettes et photocopieuses multifonctions pour le personnel technique de l'ARCA. Le marché comprend 18 ordinateurs, 18 tablettes et 02 photocopieuses. La livraison doit être effectuée au siège de l'ARCA dans un délai de deux mois. Les soumissionnaires doivent être légalement établis et répondre aux conditions techniques et financières requises. Le projet est financé par un don de la Banque mondiale.",Projet pour l'Emploi et la Transformation Economique — Don IDA N° E-2650-BI,grant,single_envelope,2,"• Être légalement établi
• Répondre aux conditions techniques et financières
• Spécialisation dans le domaine concerné","{""tags"": [], ""lots"": null}","Les offres doivent être rédigées en langue française et présentées en un original et trois copies, sous pli fermé. Elles doivent être déposées à l'adresse mentionnée au plus tard le 12 Mai 2026 à 10 heures. L'ouverture des plis aura lieu le même jour à 10 heures 30 minutes."
2359,worldbank,Enhancing Resilience in Kyrgyzstan Project,ok,2036,,"The procurement involves the reconstruction of school No. 2 named after A. Osmonbekov located in the village of Ak-Suu, Aksy district, Jalal-Abad region. The main tasks include construction and reconstruction activities as specified in the bid documents. The project is funded by the World Bank under the Enhancing Resilience in Kyrgyzstan Project. Bidders must comply with the construction standards set by the State Agency for Architecture and Construction and Housing and Communal Services. The contract duration is set for 12 months.",Enhancing Resilience in Kyrgyzstan Project (ERIK AF) - Credit No.: 6687-KG; Grant No.: D6550-KG,grant,two_envelope,12,"• Appropriate License for construction and reconstruction
• Issued by the State Agency for Architecture and Construction
• Open to all eligible Bidders as defined in the Procurement Regulations","{""tags"": [], ""lots"": null}","Bids must be delivered in sealed envelopes to the specified address before 15:00 hours (Bishkek time) on May 12, 2026. Electronic bidding is not permitted. The outer envelopes must be marked 'ORIGINAL BID' and the inner envelopes 'TECHNICAL PART'. Late bids will be rejected."
2289,worldbank,Turkey Resilient Landscape Integration Project (TULIP),ok,3027,,"Bu ihale, Türkiye Dayanıklı Peyzaj Entegrasyonu Projesi (TULİP) kapsamında 60 adet yem karma makinesi, 116 adet süt sağım makinesi, 32 ahır için her bir işletmeye 10 adet suluk, 1 havalandırma fanı, 1 otomatik kaşağı, 1 manuel gübre küreme aleti, 10 adet altlık, 1 çizme dezenfektan havuzu ve 1 ahır ilaçlaması sırt pompası mal alımını kapsamaktadır. İhale, Tokat İli Başçiftlik-Niksar-Yeşilyurt ilçelerine teslim edilmek üzere gerçekleştirilecektir. Tekliflerin, belirtilen adrese kapalı zarf usulü ile sunulması gerekmektedir. İhale, Dünya Bankası'nın satın alma düzenlemelerine uygun olarak yapılacaktır. İlgilenen firmalar, ihale dokümanlarını Tokat İl Tarım ve Orman Müdürlüğü'nden temin edebilirler.",TÜRKİYE DAYANIKLI PEYZAJ ENTEGRASYONU PROJESİ (TULİP) - 9272,loan,single_envelope,,"• Uygun teklif sahipleri için açık
• İhale dokümanları Türkçe olarak hazırlanmalıdır
• Geçici teminat sunulması gerekmektedir
• Tekliflerin geç teslim edilmesi durumunda değerlendirmeye alınmayacaktır","{""tags"": [""agriculture""], ""lots"": null}","Tekliflerin en geç 10:00 öncesinde belirtilen adrese teslim edilmesi gerekmektedir. Elektronik tekliflere izin verilmeyecektir. Tüm tekliflerin beraberinde geçici teminat sunulması gerekmekte olup, geçici teminat tutarının 750.000,00 TL'den az olmaması gerekmektedir."
2346,worldbank,Cameroon-Chad Transport Corridor,ok,2653,,"Le projet consiste en l'accompagnement de l'Unité d'Exécution du Projet PCDN-Volet Ferroviaire dans la mise en œuvre d'activités de sensibilisation, de renforcement des capacités, de développement socio-économique et de prévention des violences basées sur le genre. Les services incluent l'information, l'éducation et la communication, la prévention des accidents ferroviaires, la gestion des risques environnementaux et sociaux, ainsi que la mise en œuvre d'activités génératrices de revenus. Le bénéficiaire est l'Unité d'Exécution du Projet PCDN. La durée de la prestation est de 36 mois à partir du premier trimestre 2027.",Projet Régional pour l'amélioration de la performance du Corridor rail/route Douala Ndjamena — P167798 (Crédit IDA N° 7036 – CM),loan,eoi_only,36,"• ONG avec 10 ans d'expérience
• 3 références dans le domaine social
• 2 projets similaires financés par des bailleurs de fonds
• Expérience dans la zone du projet (Douala – Yaoundé) est un atout","{""tags"": [""environment_social"", ""capacity_building""], ""lots"": null}",Les consultants intéressés doivent soumettre leur intérêt en fournissant des informations sur leurs qualifications et expériences. Aucun CV n'est autorisé à cette étape. Les justificatifs de chaque référence ne doivent pas dépasser cinq pages.
2534,worldbank,Niger Learning Improvement for Results in Education Project,ok,3373,,"Le marché concerne des travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes dans les DREN et Inspections des chefs-lieux des régions de Diffa, Maradi, Tahoua, Tillabéry et Zinder. Les travaux sont répartis en onze lots distincts, chacun portant sur des installations spécifiques dans les différentes régions. Les entreprises peuvent soumissionner pour un ou plusieurs lots, mais ne peuvent être adjudicataires de plus de deux lots. Les lots sont indivisibles et toute offre partielle est irrecevable. Le bénéficiaire du projet est le Ministère de l'Education Nationale de l'Alphabétisation, et de la Promotion des Langues.",Learning Improvement for Results in Education (LIRE) — IDA 580 – NE,loan,two_stage,,"• Agrément national BTP confirmé, 2ème catégorie au moins
• En règle vis-à-vis de l'Administration
• Pas sous le coup d'interdiction, d'exclusion ou de liquidation judiciaire
• Chiffre d'affaires annuel moyen d'au moins FCFA au cours des 5 dernières années
• Réalisation avec succès d'au moins 2 projets similaires","{""tags"": [""education""], ""lots"": [{""lot_number"": 1, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes au Siège de la Direction Régionale de l'Education Nationale (DREN) de Diffa""}, {""lot_number"": 2, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes dans les Inspections de l'Education Nationale (IEN) de Diffa I et Diffa II""}, {""lot_number"": 3, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes à l'Inspection de l'Education Nationale (IEN) Diffa III""}, {""lot_number"": 4, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes au Siège de la Direction Régionale de l'Education Nationale (DREN) de Maradi""}, {""lot_number"": 5, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes dans les Inspections Secondaires de l'Education Nationale de Maradi I & II""}, {""lot_number"": 6, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes dans les Inspections Primaires de l'Education Nationale de Maradi I & II""}, {""lot_number"": 7, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux du Siège de la Direction Régionale de l'Education Nationale (DREN) de Tahoua""}, {""lot_number"": 8, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux dans les Inspections de l'Education Nationale (IEN) de Tahoua I et Tahoua II""}, {""lot_number"": 9, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes au Siège de la Direction Régionale de l'Education Nationale DREN de Tillabéry""}, {""lot_number"": 10, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes à l'Inspection de l'Education Nationale (IEN) de Tillabéry (IRESG de Tillabéry)""}, {""lot_number"": 11, ""lot_ref"": null, ""description"": ""Travaux d'installation et d'équipements en eau, électricité, connectivité internet, réhabilitation et travaux connexes au Siège de la Direction Régionale de l'Education Nationale (DREN) de Zinder""}]}",Les soumissions doivent être présentées sous format physique. Les candidats intéressés peuvent obtenir des informations à l'adresse mentionnée du lundi au jeudi de 8h30 à 17h00 et le vendredi de 8h30 à 13h00. Les soumissions doivent respecter les exigences de qualification et les critères énoncés dans l'avis.
2278,worldbank,Burundi Colline Climate Resilience Project,ok,2189,,"La mission consiste en la fourniture d'outils de visibilité personnalisés pour le Projet de Résilience Climatique des Collines du Burundi (PRCCB-NAGURA ISI). Les fournitures incluent des Roll up, T-shirts, Casquettes, Parapluies, Gilets, Bloc-notes, Dépliants, Banderoles en bâche, Plaquettes d'orientation et Panneaux publicitaires. Ces outils visent à sensibiliser le public sur le projet et à promouvoir sa visibilité dans les Provinces de Buhumuza, Bujumbura, Burunga, Butanyerera et Gitega. Le délai de livraison est de deux mois. Les soumissionnaires doivent respecter les règles de passation des marchés de la Banque Mondiale.",Projet de Résilience Climatique des Collines du Burundi (PRCCB-NAGURA ISI) - P180864,grant,single_envelope,2,"• Ouvert à tous les soumissionnaires éligibles
• Respect des règles de passation des marchés de la Banque Mondiale
• Soumissions en français","{""tags"": [""environment_social""], ""lots"": null}",Les cotations doivent être remises en personne à l'adresse indiquée au plus tard le mardi à 10H00 (heure locale de Bujumbura). La soumission électronique n'est pas autorisée. Les cotations doivent rester valides pour 90 jours.
2606,worldbank,Ecuador: Emergency Resilient Reconstruction Project,ok,2237,,El contrato consiste en la contratación del servicio de mantenimiento para la maquinaria del Ministerio de Infraestructura y Transporte en Ecuador. Las tareas principales incluyen el mantenimiento preventivo y correctivo de la maquinaria. El beneficiario de este servicio es el Ministerio de Infraestructura y Transporte (MIT). La oferta debe ser presentada en sobres cerrados y no se permite la presentación electrónica. Se requiere que la oferta esté acompañada de una Declaración de Mantenimiento de la Oferta.,Proyecto de Reconstrucción Resiliente de Emergencia — 9555-EC,loan,single_envelope,,"• Licitantes elegibles según las Regulaciones de Adquisiciones del Banco Mundial
• Presentación de oferta en sobre cerrado
• Declaración de Mantenimiento de la Oferta requerida","{""tags"": null, ""lots"": null}","Las ofertas deben ser dirigidas al Ministerio de Infraestructura y Transporte y presentadas en sobres cerrados a más tardar el 12 de mayo de 2026, a las 14h00. No se permite la presentación electrónica de la oferta. Los sobres deben estar claramente marcados y se abrirán públicamente el mismo día a las 14h15."
2272,worldbank,Burundi Colline Climate Resilience Project,ok,2205,,"La mission consiste en la fourniture d'outils de visibilité personnalisés pour le Projet de Résilience Climatique des Collines du Burundi (PRCCB-NAGURA ISI). Les fournitures incluent des Roll up, T-shirts, Casquettes, Parapluies, Gilets, Bloc-notes, Dépliants, Banderoles en bâche, Plaquettes d'orientation et Panneaux publicitaires. Ces outils visent à promouvoir la visibilité du projet à travers sa zone d'intervention et tout le pays. La livraison doit être effectuée dans les Provinces de Buhumuza, Bujumbura, Burunga, Butanyerera et Gitega. Le délai de livraison est de deux mois.",Projet de Résilience Climatique des Collines du Burundi (PRCCB-NAGURA ISI) - P180864,grant,single_envelope,2,"• Soumissionnaires éligibles selon les Règles de passation des marchés
• Dossier de Demande de Cotation en Français
• Cotations signées requises
• Soumission en personne uniquement","{""tags"": [""environment_social"", ""capacity_building""], ""lots"": null}",Les Cotations doivent être remises en personne à l'adresse indiquée au plus tard le mardi à 10H00 (heure locale de Bujumbura). La soumission électronique n'est pas autorisée. Les Cotations doivent rester valides pour une période de 90 jours.
2994,worldbank,Punjab Urban Land Systems Enhancement Project,ok,2280,,"The Project Management Unit-Board of Revenue is procuring non-consulting services for an Android Based Survey aimed at issuing Green Property Certificates in various divisions including Lahore, Sargodha, Gujrat, Faisalabad, and Rawalpindi. The deliverable includes conducting surveys to facilitate the issuance of these certificates. The project is part of the Punjab Urban Land Systems Enhancement (PULSE) Project, financed by the World Bank. Bidders are required to submit sealed bids in a single envelope format. The procurement is open to all eligible bidders as defined in the World Bank's procurement regulations.",Punjab Urban Land Systems Enhancement (PULSE) Project — Credit No. 7041-PK,loan,single_envelope,,"• Open to all eligible bidders as per World Bank regulations
• Bids must include Bid-Security
• Bidding document available in English","{""tags"": null, ""lots"": [{""lot_number"": 1, ""lot_ref"": ""LOT-1"", ""description"": ""Android Based Survey for Issuance of Green Parcels Certificate: Lahore Divisions""}, {""lot_number"": 2, ""lot_ref"": ""LOT-2"", ""description"": ""Android Based Survey for Issuance of Green Parcels Certificate: Sargodha & Gujrat Divisions""}, {""lot_number"": 3, ""lot_ref"": ""LOT-3"", ""description"": ""Android Based Survey for Issuance of Green Parcels Certificate: Faisalabad & Rawalpindi Divisions""}]}","Bids must be delivered in physical format to the specified address before 11.00 a.m. on May 13, 2026. Electronic bidding is not permitted. Late bids will be rejected, and bids will be publicly opened immediately after the submission deadline."
3763,worldbank,Comoros  Multi Sector Skills for Job and Economic Transformation Preparation Grant,ok,1547,,"Le projet consiste à recruter un Consultant International pour évaluer institutionnellement, opérationnellement et financièrement la Société de Garantie des Comores (SOGAK). Les principales tâches incluent l'évaluation des opérations et des finances de SOGAK pour soutenir l'UGP FSRP-KM dans la préparation du projet. Le consultant devra fournir une expertise technique et opérationnelle. Le projet se déroule aux Comores. Les candidats doivent respecter les délais de soumission.",FSRP-KM — P512649,,eoi_only,,,"{""tags"": null, ""lots"": null}","Les candidatures doivent être envoyées par email ou déposées physiquement au siège du FSRP-KM, situé au Ministère de l'Agriculture à Mdé – Ex Cefader. Les dossiers doivent être soumis avant la date limite fixée au 13 mai 2026 à 14h00."
2645,worldbank,Electricity Sector Modernization and Sustainability Project,ok,1562,,Поставка трансформаторов 6-10 кВ для модернизации и устойчивого развития электроэнергетического сектора. Основные задачи включают закупку и доставку трансформаторов. Проект реализуется в Кыргызской Республике. Участники должны следовать процедуре неограниченных торгов. Заказчик — Министерство энергетики Кыргызской Республики.,Модернизация и устойчивое развитие электроэнергетического сектора — KG/KEMS/G/2025/RFB-004,loan,two_envelope,,,"{""tags"": [""energy""], ""lots"": null}",Конкурсные предложения должны быть поданы через Портал государственных закупок Кыргызской Республики. Участники могут подавать свои предложения в электронном формате.
3677,worldbank,Progestão Alagoas: Public Sector Management Efficiency,ok,2120,,"O objetivo é contratar um Consultor Individual para apoiar a Secretaria de Planejamento do Estado de Alagoas na implementação, supervisão e gestão dos planos do projeto do Programa Progestão. O consultor deverá garantir a entrega bem-sucedida dos objetivos do projeto dentro do escopo, cronograma e orçamento definidos. O trabalho envolve a melhoria da gestão fiscal, orçamentária e patrimonial da administração pública estadual. O consultor deve ter experiência em auditoria de folha de pagamento ou e-Social no setor público. O beneficiário é a Secretaria de Estado do Planejamento, Gestão e Patrimônio de Alagoas - SEPLAG.",Programa Progestão Alagoas — BR-SEPLAG/AL-504117-CS-INDV,loan,eoi_only,,"• Profissional de nível superior em Contabilidade, Administração, Direito ou áreas afins
• Pós-Graduação em auditoria, compliance ou controle interno
• Certificação em Auditoria Interna (IBRACON)
• Experiência de pelo menos 5 anos em auditoria de folha pagamento ou e-Social
• Domínio da legislação e obrigações do e-Social","{""tags"": [""governance""], ""lots"": null}","Os profissionais interessados deverão encaminhar as manifestações até o dia às 18 horas, devidamente identificadas como TR RH5 - BR-SEPLAG/AL-504117-CS-INDV, no seguinte endereço eletrônico."
2404,worldbank,Gambia Inclusive and Resilient Agricultural Value Chain Development Project (GIRAV),ok,1778,,"The contract involves the upgrading of the irrigation system at the GICAV Garden located at 14 Marina Parade, Banjul. Eligible bidders are invited to submit sealed bids for this construction work. The project aims to enhance agricultural value chains in The Gambia. Bidders must meet specific qualifications and experience requirements. The procurement process follows the World Bank's regulations and is open to all qualified contractors.",Gambia Inclusive and Resilience Agriculture Value Chain Development Project (GIRAV) — IDA9109 – GM,grant,single_envelope,,"• Required qualifications and experience
• Open to all eligible bidders
• Bid Security of GMD600,000.00 required","{""tags"": [""agriculture""], ""lots"": null}","Bids must be delivered physically to the specified address by 13th May 2026 at 12:30pm. Electronic bidding is not permitted, and late bids will be rejected. Bids will be publicly opened in the presence of designated representatives."
3760,worldbank,DRC Transport and Connectivity Development Project,ok,2449,,"Recrutement d'un consultant pour l'audit des comptes du Projet de Développement des Transports et de la Connectivité en RDC (PDTC) pour les exercices 2026, 2027 et 2028. L'auditeur devra s'assurer de l'utilisation conforme des ressources décaissées par l'IDA, vérifier la gestion des comptes et des dépenses, et évaluer la conformité des acquisitions de biens et services. Des visites de terrain et des inspections physiques seront nécessaires pour vérifier la qualité des travaux réalisés. Le démarrage des prestations est prévu pour avril 2027.","Projet de Développement des Transports et de la Connectivité en RDC (PDTC) — IDA 7818-ZR, IDA 7817-ZR, IDA- E4670-ZR",grant,,3,"• Expérience en audit de projets financés par des bailleurs de fonds
• Connaissance des normes comptables OHADA
• Capacité à réaliser des visites de terrain
• Équipe avec des compétences en gestion financière","{""tags"": [""governance""], ""lots"": null}",Les termes de référence complets sont disponibles sur le site de la Cellule Infrastructures. Les firmes intéressées doivent soumettre leur manifestation d'intérêt selon les instructions fournies sur le site.
2684,worldbank,Electricity Sector Modernization and Sustainability Project,ok,1936,,"Закупка включает поставку измерительных трансформаторов и самонесущего изолированного провода (СИП-2). Основные задачи включают поставку трансформаторов напряжения 10 кВ и 35 кВ, а также трансформаторов тока 35 кВ и 0,66 кВ. Географический охват — Кыргызская Республика. Участники должны подать конкурсные предложения через Портал государственных закупок. Заказчик — Министерство энергетики Кыргызской Республики.",Модернизация и устойчивое развитие электроэнергетического сектора — KG/KEMS/G/2026/RFB-002,loan,two_envelope,,"• Правомочные участники
• Участие в неограниченных торгах
• Подача предложений через Портал государственных закупок","{""tags"": [""energy""], ""lots"": [{""lot_number"": 1, ""lot_ref"": null, ""description"": ""Трансформаторы напряжения 10 кВ (антирезонансные); Трансформаторы напряжения 35 кВ (антирезонансные); Трансформаторы тока 35 кВ (литые)""}, {""lot_number"": 2, ""lot_ref"": null, ""description"": ""Самонесущий изолированный провод (СИП-2)""}, {""lot_number"": 3, ""lot_ref"": null, ""description"": ""Трансформаторы тока 0,66 кВ без встроенной шины""}]}",Конкурсные предложения должны быть поданы через Портал государственных закупок Кыргызской Республики. Участники могут подавать свои предложения в электронном формате. Вскрытие предложений состоится 13 мая 2026 года в 15:00 местного времени.
77,worldbank,Log-In Georgia,ok,1470,,The contract involves the construction of Fiber Optic (passive) infrastructure in the Kakheti-Tianeti region of Georgia. The work is part of the Log-In Georgia Project funded by the World Bank. The duration for the completion of the works is set at 450 days. Bidders are invited to submit their proposals for this infrastructure deployment. No margin of preference will be applied in the bidding process.,Log-In Georgia Project,loan,single_envelope,15,,"{""tags"": [""digital""], ""lots"": null}",Bidding will be conducted through national competitive procurement using Request for Bids (RFB). Bidders should refer to the World Bank's Procurement Regulations for submission details.
3769,worldbank,Cambodia Regional Connectivity Improvement Program,ok,1806,,The Ministry of Public Works and Transport (MPWT) is seeking to recruit an individual National Financial Management Consultant to support financial management activities required for the preparation and implementation readiness of The Cambodia Regional Connectivity Improvement Project Phase 1 (CRCI Phase 1). The consultant will assist MPWT in carrying out financial management activities under the Grant Facility for Project Preparation (GFPP) to ensure timely project preparation. The assignment is crucial for ensuring the project is ready for implementation. The consultant will be selected in accordance with the World Bank Procurement Regulations for IPF Borrowers.,Grant Facility for Project Preparation (GFPP) for The Cambodia Regional Connectivity Improvement Project Phase 1 (CRCI) — IDA Grant No. E5120,grant,eoi_only,,"• Relevant experience in financial management
• Individual consultant selection
• CV must be signed by the candidate","{""tags"": [""financial_management""], ""lots"": null}","Interested candidates are invited to submit a letter of expression of interest and an updated curriculum vitae (CV) with supporting documents demonstrating relevant experience. Submissions must be made no later than 13th May 2026 at 17:00, either in person or via email."
3039,worldbank,Eastern Africa Regional Statistics Program-for-Results,ok,1961,,Les services de consultance comprennent le développement du catalogue du portail de données du Burundi et la formation en catalogage des données. La mission débutera au mois de mai 2026. Les consultants doivent démontrer leurs qualifications et leur expérience pertinente pour exécuter ces services. L'Institut National de la Statistique du Burundi est le client bénéficiaire. Les Termes de Référence sont disponibles sur demande.,Projet Régional de Statistiques pour les Résultats de l'Afrique de l'Est pour le Burundi — IDA-3470,loan,eoi_only,,"• Diplôme universitaire en statistique, économie ou domaine connexe
• Au moins 5 ans d'expérience en catalogage de microdonnées
• Expérience avec le logiciel de documentation DDI
• Conduite d'au moins trois programmes de formation
• Compétence en français écrit et parlé","{""tags"": null, ""lots"": null}","Les manifestations d'intérêt doivent être fournies par écrit (en personne, par la poste ou par courriel) au plus tard le à 10 heures 00."
